target,quantile,year,n,mean_probability,median_probability,p90_probability,high_prob_050_rate,high_prob_080_rate
B,0.95,2034,942,0.03681153990258524,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2035,942,0.03681153990258524,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
C,0.95,2027,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2028,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2029,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2030,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2031,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2032,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2033,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2034,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
C,0.95,2035,942,0.08786062195578868,0.08823529411764706,0.08823529411764706,0.0010615711252653928,0.0010615711252653928
D,0.95,2027,942,0.039371799675284126,0.029411764705882353,0.029411764705882353,0.008492569002123142,0.0074309978768577496
D,0.95,2028,942,0.03949669039590358,0.029411764705882353,0.029411764705882353,0.008492569002123142,0.0074309978768577496
D,0.95,2029,942,0.039652803796677905,0.029411764705882353,0.029411764705882353,0.009554140127388535,0.0074309978768577496
D,0.95,2030,942,0.03996503059822655,0.029411764705882353,0.029411764705882353,0.009554140127388535,0.0074309978768577496
D,0.95,2031,942,0.040152366679155733,0.029411764705882353,0.029411764705882353,0.010615711252653927,0.0074309978768577496
D,0.95,2032,942,0.04040214812039465,0.029411764705882353,0.029411764705882353,0.01167728237791932,0.0074309978768577496
D,0.95,2033,942,0.04062070688147871,0.029411764705882353,0.029411764705882353,0.012738853503184714,0.0074309978768577496
D,0.95,2034,942,0.04083926564256275,0.029411764705882353,0.029411764705882353,0.012738853503184714,0.008492569002123142
D,0.95,2035,942,0.04102660172349194,0.029411764705882353,0.029411764705882353,0.012738853503184714,0.008492569002123142
E,0.95,2027,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2028,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2029,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2030,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2031,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2032,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2033,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2034,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
E,0.95,2035,942,0.24309978768577495,0.11764705882352941,0.5,0.14331210191082802,0.06050955414012739
F,0.95,2027,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2028,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2029,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2030,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2031,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2032,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2033,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2034,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
F,0.95,2035,942,0.6097789434245036,0.8529411764705882,1.0,0.6061571125265393,0.5031847133757962
G,0.95,2027,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2028,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2029,942,0.00021855876108405146,0.0,0.0,0.0,0.0
G,0.95,2030,942,0.00021855876108405146,0.0,0.0,0.0,0.0
