target,quantile,threshold_value,model,split,n_train,n_eval,n_positive,auc,average_precision,threshold,precision,recall,f1,positive_rate,predicted_positive_rate,validation_auc,validation_average_precision,validation_f1
G,0.9,160.114,ExtraTrees,validation_2019_2020,815,100,12,0.8011363636363636,0.3409668982383591,0.2595549817443955,0.32,0.6666666666666666,0.43243243243243246,0.12,0.25,,,
G,0.9,160.114,HistGB,validation_2019_2020,815,100,12,0.7679924242424242,0.29528872812146784,0.004502593477128727,0.24,1.0,0.3870967741935484,0.12,0.5,,,
G,0.9,160.114,ExtraTrees,test_2022_2026,938,34,1,0.6666666666666667,0.08333333333333333,0.2595549817443955,0.0,0.0,0.0,0.029411764705882353,0.14705882352941177,0.8011363636363636,0.3409668982383591,0.43243243243243246
G,0.95,261.73999999999944,LogisticL2,validation_2019_2020,815,100,4,0.5546875,0.1329696873175134,0.9917721569623573,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,RandomForest,validation_2019_2020,815,100,4,0.6067708333333333,0.16738835866619536,0.3751146113405546,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,ExtraTrees,validation_2019_2020,815,100,4,0.5755208333333334,0.2918846028113763,0.34136242135424893,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,HistGB,validation_2019_2020,815,100,4,0.5989583333333334,0.29148590209306346,0.10977223792397116,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,ExtraTrees,test_2022_2026,938,34,0,,,0.34136242135424893,0.0,0.0,0.0,0.0,0.0,0.5755208333333334,0.2918846028113763,0.2222222222222222
H,0.9,0.2,LogisticL2,validation_2019_2020,815,100,15,0.6290196078431374,0.38626147111729114,0.6417554779159764,0.35,0.4666666666666667,0.4,0.15,0.2,,,
H,0.9,0.2,RandomForest,validation_2019_2020,815,100,15,0.6360784313725489,0.3811811389002632,0.16649831448132615,0.3,0.6,0.4,0.15,0.3,,,
H,0.9,0.2,ExtraTrees,validation_2019_2020,815,100,15,0.6415686274509804,0.3461618064774158,0.21880845120271328,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15,0.15,,,
H,0.9,0.2,HistGB,validation_2019_2020,815,100,15,0.580392156862745,0.34801042521829406,0.005171011862010112,0.3,0.4,0.34285714285714286,0.15,0.2,,,
H,0.9,0.2,LogisticL2,test_2022_2026,938,34,6,0.5059523809523809,0.22611490212296664,0.6417554779159764,0.25,0.16666666666666666,0.2,0.17647058823529413,0.11764705882352941,0.6290196078431374,0.38626147111729114,0.4
H,0.95,0.35299999999999954,LogisticL2,validation_2019_2020,815,100,7,0.5852534562211982,0.12383353461980881,0.009649813613587566,0.1,1.0,0.18181818181818182,0.07,0.7,,,
H,0.95,0.35299999999999954,RandomForest,validation_2019_2020,815,100,7,0.6728110599078341,0.3841513686384125,0.199761291073932,0.6,0.42857142857142855,0.5,0.07,0.05,,,
H,0.95,0.35299999999999954,ExtraTrees,validation_2019_2020,815,100,7,0.6482334869431644,0.3859213250517598,0.30272360854653574,0.6,0.42857142857142855,0.5,0.07,0.05,,,
H,0.95,0.35299999999999954,HistGB,validation_2019_2020,815,100,7,0.7019969278033793,0.3784013605442177,0.004345016867445699,0.3,0.42857142857142855,0.35294117647058826,0.07,0.1,,,
H,0.95,0.35299999999999954,ExtraTrees,test_2022_2026,938,34,2,0.375,0.08496732026143791,0.30272360854653574,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.6482334869431644,0.3859213250517598,0.5
