target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
A,literature_2019_2020,two_stage_high_pollution,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.057668714498920304,0.08300266388524657,13.569724916295273,6.794411743276543,38.086417414226645,,18.218
A,literature_2019_2020,direct_global,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.22983401229489853,-0.11172226905448257,15.502169768593012,7.02287090412478,52.583705292947656,,
A,literature_2019_2020,spatial_zone_features,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.3002623836752414,-0.12412665842819326,15.939868642566823,7.08363617241894,55.10509906334279,,
A,literature_2019_2020,spatial_baseline_residual,NGBoost,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,NGBoost,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,NGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.16622883189547744,-0.09011723391225845,15.095973535101805,6.946607563603967,50.70918604170296,False,
B,literature_2019_2020,direct_global,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.04227259251506976,-0.23553527953835607,2.2192323628156183,1.0691151247703812,278.2194387281973,,
B,literature_2019_2020,spatial_zone_features,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.039380699842228806,-0.23471041706420692,2.2161514798771047,1.0779707569199943,282.3302436709367,,
B,literature_2019_2020,spatial_baseline_residual,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,RF,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.03512940845308776,-0.22878745638384723,2.2116145669558436,1.06031035641586,267.2986663281803,True,
B,literature_2019_2020,two_stage_high_pollution,RF,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.038754940396455995,-0.31060003046944984,2.215484262123137,1.178230540533982,312.98275445201347,,1.2769999999999992
B,literature_2019_2020,direct_global,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.024931816803672513,-0.21185058317104022,2.2006937279748575,1.0942050016324476,274.2641182478033,,
B,literature_2019_2020,spatial_zone_features,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.036614539018887005,-0.23086797632433265,2.2132005324909283,1.0898118459919262,273.83223858765797,,
B,literature_2019_2020,spatial_baseline_residual,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,ExtraTrees,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.018259695667235176,-0.1796832094601677,2.193518972837519,1.0767610655845643,262.59339205994223,True,
B,literature_2019_2020,two_stage_high_pollution,ExtraTrees,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.003123787193044514,-0.24498760300497735,2.1771551676417955,1.1486051343091517,295.83489291034044,,1.2769999999999992
B,literature_2019_2020,direct_global,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.05408045560047814,-0.3669433501643504,2.2317677553859414,1.1501560703455063,314.28236960708654,,
B,literature_2019_2020,spatial_zone_features,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.042409248585222326,-0.3071362335809791,2.2193778437749825,1.1109009775829164,279.4492433399464,,
B,literature_2019_2020,spatial_baseline_residual,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,spatial_baseline_residual_zone,HistGBR,failed: Input y contains NaN.,,,,,,,,,,,,,
B,literature_2019_2020,temporal_weighted,HistGBR,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.15392757408200453,-0.46853010505654535,2.335078009028287,1.2019622824973646,317.1437496662819,True,
B,literature_2019_2020,direct_global,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.03515651178318613,0.009037405979723245,2.1352097958237435,0.9708970692421558,224.26329583917143,,
B,literature_2019_2020,spatial_zone_features,ElasticNet,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.010407060628729092,-0.02740911605042129,2.1624218059725844,0.9633218062858355,207.8452595032041,,
