target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
C,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.6189721759151354,-0.6732234147689293,32.3677718319382,23.46059274126719,41.790578964365935
D,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.0284793296678858,-0.00790061325441882,36.96335063852059,12.296310573647471,35.95998481188373
D,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.09296817978380822,-0.27625935719946715,38.104591257146076,13.642691551830607,37.4284912841905
D,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.051525479998038914,-0.160695410613801,37.375193398804456,13.332083526936945,36.89442094295852
D,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.03418936234349812,-0.05277945634582104,37.06581735546723,12.607150770491263,35.495956900782296
D,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.03006777715483322,-0.02748769063474943,36.99188387526492,12.27546669957353,34.916682518374955
D,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.16377169970030736,-1.1177167905071381,39.319450896428506,17.17239094719015,43.806645770030265
E,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.012354686464393971,-0.23512321328576435,43.81420989191836,8.20864543389523,21.472961292168264
E,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.00014343508551806217,-0.11317267220186689,43.549159734644505,7.919789377984134,20.306505916746172
E,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.007394150940323252,-0.2202742378937419,43.70673331004932,8.367425165886983,21.776648345343236
E,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.015766970478279685,-0.27934722509111776,43.88798875552586,8.37953614501953,21.95209929411166
E,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.008263461083522383,-0.1834550131790571,43.72558715856698,7.773988261693542,20.341720249027667
E,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.025797953884698188,-0.6186208142922491,44.10415947225525,8.629009983385943,21.715468570619922
F,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.00046535780312328967,0.16221521099486924,426.29192884960173,49.82548546292164,63.65665680192723
F,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.007995049834625956,-0.16131123181776164,427.8930987733476,52.451183211172285,55.10166565255571
F,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.006170275886138166,-0.0924117998889129,427.5056157821924,51.25971197804191,50.101164892491234
F,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.007957502650244752,0.0683701259170787,427.8851293241453,49.62426588822704,49.55981547780166
F,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.004179306772613245,0.12921157029257846,427.08244091311803,49.57324120141155,58.241631958330956
F,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.01239723938951598,-1.025150232235724,428.8264438267492,55.85206961842637,57.67193830899515
G,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.02356893140390115,-0.1770953238051578,114.72482655238002,35.9161502272167,56.66954862462374
G,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.05059199396147762,-0.1943771428055605,116.2293758489778,35.97121514120335,48.16812883007499
G,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.04372551649767287,-0.17105034945618391,115.84892620240305,36.17692671049415,49.8334057701936
G,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.022007598124238914,-0.09760251946854415,114.637293585939,33.766677938894496,46.50235669407453
G,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.027631564562098587,-0.21549355905477752,114.95227743669696,37.383698049287425,57.73643543683495
G,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.05997543707805608,-0.6575555295303381,116.74727779986249,38.96774788635706,46.38952244459501
H,0,ExtraTrees,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,0.026517198475391246,0.023556818032385518,0.14943047916181176,0.07676176050570876,95.38008996910845
H,0,HistGBR,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.11522207286637842,-0.1856265239172874,0.15993949694320075,0.08107600256969112,92.63008159143821
H,0,LightGBM,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.12161163691436494,-0.19632236422845617,0.1603970219865302,0.08057409508170293,93.2617395370284
H,0,XGBoost,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.033188146738060365,-0.05576155005727479,0.15394470472770397,0.07755672927786737,98.13098193596
H,0,RF,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.005098176020785772,-0.039979669103558324,0.15183758578274217,0.08239705997775248,104.35256729227002
H,0,ElasticNet,ok,677,295,112,116.009453,121.673145,26.079344,37.705602,-0.41796970251757104,-0.6606912354065393,0.1803468342082375,0.09701528944007975,93.93352620295771
A,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.016750487530997393,0.06240622339223001,33.898257406977436,10.788421728249933,43.410916210101234
A,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.017329593535543752,0.018943932335215408,33.32530379649225,11.280111860020963,52.69757632826902
A,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.009131220713192945,-0.046633918482823944,33.4640307677141,11.562961480277258,54.2724779013369
A,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.007354422870193167,0.0374753953128224,33.74126240085315,11.031543290038087,45.94784054721099
A,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,0.002825405411222337,-0.033026447839447526,33.57034319777888,12.129091532499084,54.58215846640797
A,1,ElasticNet,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.06149744582435113,-0.10787249963210277,34.636153468480565,11.36652382728035,43.11934304083756
B,1,ExtraTrees,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03691958140954177,0.00830414342098873,8.82600550953659,2.6205805037085432,213.12442700888022
B,1,HistGBR,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03742397016677246,-0.050295780273184265,8.828151865337468,2.647491097161829,200.10905242273478
B,1,LightGBM,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.037542611819304295,-0.019676748279861433,8.828656652489439,2.6552927753581046,203.47747705168385
B,1,XGBoost,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.0505301938980689,-0.06742896003012722,8.88374176556166,2.6379661073167577,185.16213599636046
B,1,RF,ok,753,219,112,106.740134,118.056191,19.064865,32.31631,-0.03978316525307202,0.009301214387135714,8.8381841692651,2.6373248551719057,203.66212604281196
