protocol,target,feature_set,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,H,spatial_distribution_only,spatial_distribution_features,XGBoost,815,100,139,0.038253933839033305,0.06771422928213322,0.35014751424577617,0.11798094700443745,63.679834916995645
literature_2019_2020,H,spatial_distribution_only,spatial_distribution_features,LightGBM,815,100,139,-0.053412934373374465,-0.0808295619448609,0.3664545864285684,0.12637306564592862,69.69569742272323
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,815,100,223,0.017288220937674126,0.033178587972701123,0.3539434820495487,0.12099921597367816,72.98920139062926
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,815,100,223,-0.026766544430941064,-0.05219063595797602,0.36179011192014865,0.1363677034220915,87.57220616529344
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,815,100,223,0.12487024129666313,0.1898194349927108,0.3340081503118141,0.11426255432434047,63.08471294265706
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,815,100,223,0.06256685754308866,0.09518412266129506,0.3456933220618279,0.12020599769341946,70.5071048884761
literature_2019_2020,H,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,815,100,223,-0.05520801360766492,-0.08339925164767648,0.3667666838959266,0.12797259105861067,77.90943754931375
temporal_2022_2026,A,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,0.10678381002349435,0.11642109210472762,18.151218502536107,7.542428264206751,50.388002129303985
temporal_2022_2026,A,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,0.08194390260935602,0.050934757651816986,18.401876061598458,7.784565014896727,52.5904078067388
temporal_2022_2026,A,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,0.10321511176337783,0.0018694766882438874,18.187442459771074,8.108734241030437,65.27639092562526
temporal_2022_2026,A,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.15111858272673573,0.1814909561792718,17.695017846309376,7.3570363251181226,49.66857916600746
temporal_2022_2026,A,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,0.09940081515720733,0.08434168990453184,18.226079758462618,7.7328958805439845,52.22078500480855
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,0.1038144824648487,0.13383812469708567,18.18136360946094,7.413709083693804,48.90775716322738
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,0.18963470819060202,0.18623297143759832,17.28892170569136,7.168860604758305,47.74466338801869
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,ElasticNet,938,34,223,0.13653773281467096,0.0414043378991269,17.846340448717147,7.889258492004217,60.96274180477176
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,XGBoost,938,34,223,0.1390678837295295,0.2012925851197931,17.82017424387011,7.091024698818432,47.29711453134957
temporal_2022_2026,A,external_plus_spatial_distribution,spatial_distribution_features,LightGBM,938,34,223,0.1308542342571528,0.16556949674092314,17.904978384063213,7.5247729044640606,49.83492663960385
temporal_2022_2026,B,spatial_distribution_only,spatial_distribution_features,ExtraTrees,938,34,139,-0.01905693738069303,-0.18866582034049673,2.0761074365556755,0.9704293399145243,398.07105406487307
temporal_2022_2026,B,spatial_distribution_only,spatial_distribution_features,HistGBR,938,34,139,-0.23757790268069257,-0.4238312470836507,2.2878991254922045,1.0653778784846173,344.5161109801304
temporal_2022_2026,B,spatial_distribution_only,spatial_distribution_features,ElasticNet,938,34,139,-1.3207271239321927,-0.9743738856460489,3.1330161836397585,1.5268600231121696,592.6900001479329
temporal_2022_2026,B,spatial_distribution_only,spatial_distribution_features,XGBoost,938,34,139,0.05947132340234473,0.026857885998684772,1.9945118456710285,0.8721034937185399,290.11334294099777
temporal_2022_2026,B,spatial_distribution_only,spatial_distribution_features,LightGBM,938,34,139,-0.14882344282899806,-0.4316535114037472,2.2043332102769995,1.0654843890076588,394.35640614619876
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,ExtraTrees,938,34,223,-0.018863781944335134,-0.24819651452895242,2.075910671082038,1.0149200683766018,440.79297658146885
temporal_2022_2026,B,external_plus_spatial_distribution,spatial_distribution_features,HistGBR,938,34,223,-0.043849094762955954,-0.14038777288687343,2.101209998063594,0.9774513623823218,323.2323875738688
