protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,B,local_analog_direct,AnalogRecentMax,ok,815,100,19,-72.01647581947874,-6.739132781410468,18.574731811975106,7.986154000000002,1634.8746692259376
literature_2019_2020,B,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-1.2722519491216557,-0.9025813004977701,3.276727760281589,1.5420500000000001,288.19916295770304
literature_2019_2020,B,local_analog_memory_ml,ElasticNet,ok,815,100,64,0.06977041730163114,-0.21209369820263158,2.0965594968763677,1.11050720512754,314.2430638940678
literature_2019_2020,B,local_analog_memory_ml,HistGBR,ok,815,100,64,0.05323704092353576,-0.0603123300734032,2.115108971408763,1.016244526814378,225.68229396576558
literature_2019_2020,B,local_analog_memory_ml,LightGBM,ok,815,100,64,0.020091880054390554,-0.11034175113547673,2.1518143350157484,1.0152529803563684,252.2549256133869
literature_2019_2020,B,local_analog_memory_ml,XGBoost,ok,815,100,64,0.0041366884892708455,-0.11693770008461946,2.1692618802420007,1.019754333589077,240.23985715043398
literature_2019_2020,B,local_analog_memory_ml,CatBoost,ok,815,100,64,0.06199353636804816,-0.005813453322420337,2.1053050571494594,0.9551114504939708,203.53286443988435
literature_2019_2020,B,local_analog_memory_ml,NGBoost,ok,815,100,64,-0.757787858176771,-0.6440854647101586,2.882009103528085,1.3497450544114522,345.72535410654405
literature_2019_2020,C,local_analog_direct,AnalogIDW,ok,815,100,19,-0.05204288007511626,-0.5295942574016512,53.747321251532014,27.063737615173537,42.69089505363522
literature_2019_2020,C,local_analog_direct,AnalogMedian,ok,815,100,19,-0.04022502377311232,-0.4703862593537176,53.44459025124269,25.547513499999994,40.29219594589195
literature_2019_2020,C,local_analog_direct,AnalogP90,ok,815,100,19,-0.09455702144285572,-0.40673093464789467,54.82255840489024,32.766864,63.03606913263633
literature_2019_2020,C,local_analog_direct,AnalogRecentMax,ok,815,100,19,-1.1475144948315812,-1.6189516487615054,76.79061666291005,54.125569999999996,107.36280078409915
literature_2019_2020,C,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-0.12748183158835769,-1.426450681740223,55.640993945741116,30.914789999999993,48.9079437115656
literature_2019_2020,C,local_analog_memory_ml,ElasticNet,ok,815,100,64,-0.031671246683598664,-0.05130625274598222,53.22439905300956,24.656481156706818,36.49324581494325
literature_2019_2020,C,local_analog_memory_ml,HistGBR,ok,815,100,64,-0.035362291319601,-0.11646592887222718,53.31952539883447,26.057311718085042,40.25751424911523
literature_2019_2020,C,local_analog_memory_ml,LightGBM,ok,815,100,64,-0.008756705798391273,-0.12286048393036508,52.62999401696342,26.106113702135207,40.649755357226034
literature_2019_2020,C,local_analog_memory_ml,XGBoost,ok,815,100,64,0.026554310156884586,0.003291788311026056,51.70064562973227,24.399734886627193,38.08201790088505
literature_2019_2020,C,local_analog_memory_ml,CatBoost,ok,815,100,64,0.02596970573285029,0.03702998146844272,51.716167753876256,24.465624174579713,36.80930685500849
literature_2019_2020,C,local_analog_memory_ml,NGBoost,ok,815,100,64,0.008258456429767191,-0.005004033079946346,52.18423920601101,24.96206857294744,37.190125172139844
literature_2019_2020,D,local_analog_direct,AnalogIDW,ok,815,100,19,-0.30118074433205755,-0.7496684574734493,65.66347348862529,30.10527595939417,112.83211905272448
literature_2019_2020,D,local_analog_direct,AnalogMedian,ok,815,100,19,0.004828885256682014,-0.23924746791702955,57.42538553444809,23.29652,46.86343176380367
literature_2019_2020,D,local_analog_direct,AnalogP90,ok,815,100,19,-1.0185140224083438,-1.7136425042465961,81.78448513711083,46.489683000000014,178.85848721359386
literature_2019_2020,D,local_analog_direct,AnalogRecentMax,ok,815,100,19,-4.063024603157448,-2.898703155768992,129.5269256290367,73.19039,253.9783982528875
literature_2019_2020,D,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-0.8420360132863067,-1.389784231288501,78.1275304793387,35.14092,131.81990809719304
literature_2019_2020,D,local_analog_memory_ml,ElasticNet,ok,815,100,64,0.049420622796649494,-0.24386497568493648,56.124079693328355,25.071659228641224,66.54600212407098
literature_2019_2020,D,local_analog_memory_ml,HistGBR,ok,815,100,64,-0.022216782157072235,-0.3251317124780082,58.20047671620724,26.13311798651205,71.22153570868825
literature_2019_2020,D,local_analog_memory_ml,LightGBM,ok,815,100,64,0.03448651724385976,-0.28801243771963647,56.563231100698154,25.335786423293317,67.60886009434407
literature_2019_2020,D,local_analog_memory_ml,XGBoost,ok,815,100,64,0.0030866049469815415,-0.26246583459438955,57.47563185117154,24.638907694931028,65.66244461192548
literature_2019_2020,D,local_analog_memory_ml,CatBoost,ok,815,100,64,0.09341285641967434,-0.1646903584581425,54.81000183330812,23.298770472833997,57.68943443715607
literature_2019_2020,D,local_analog_memory_ml,NGBoost,ok,815,100,64,-0.037758277566522835,-0.2465539800549017,58.64123953732622,24.51834195753963,66.98533027608755
literature_2019_2020,E,local_analog_direct,AnalogIDW,ok,815,100,19,-3.7565630858938643,-0.22199693444761048,24.485792481892343,9.968402496985961,31.446963406260984
literature_2019_2020,E,local_analog_direct,AnalogMedian,ok,815,100,19,0.03376138845668952,0.04555820853880754,11.035950098201782,7.306570000000001,26.667789359046324
literature_2019_2020,E,local_analog_direct,AnalogP90,ok,815,100,19,-0.44670615759063104,-0.3516348381132166,13.50385291430561,10.337408,41.256497865821075
literature_2019_2020,E,local_analog_direct,AnalogRecentMax,ok,815,100,19,-99.91926454721207,-2.9771528652877177,112.78583844069254,33.833670000000005,99.85824263966514
literature_2019_2020,E,local_analog_direct,AnalogSameOrNearestMax,ok,815,100,19,-0.5424929675047927,-0.29900297480448246,13.943735316262998,9.79305,32.76190159931491
literature_2019_2020,E,local_analog_memory_ml,ElasticNet,ok,815,100,64,0.0370940847376372,0.012165279335101475,11.016901367047389,7.718284991788491,29.324506130725396
