protocol,target,feature_set,method,model,status,n_train,n_validation,n_test,n_features,validation_r2,validation_rmse,validation_mae,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,C,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.020829488167428023,42.84731756632851,24.70725383014873,-0.010611572939303926,-0.01666304355919035,52.67835890581456,24.503619827250386,36.52895867796166
literature_2019_2020,C,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,-0.02553132229253796,42.9458793427414,25.43947983576455,0.11622581757218708,0.08494655549822783,49.261854650593385,24.543036712181674,40.19819418934882
literature_2019_2020,C,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,-0.02789428816567563,42.99532749539164,25.051188685775944,0.0836463361977039,0.12530293597110342,50.161632672835765,23.972967382260855,37.814521234427694
literature_2019_2020,C,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.02963613597436643,43.031741559264276,25.325416747373065,0.06476779328040794,0.1258196942736609,50.675708628626175,23.427390833354607,36.33972834250633
literature_2019_2020,C,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,-0.013802403752397385,42.69958884746949,24.842202767270877,0.052209741887388805,0.04129795975496087,51.014804127789645,24.60713038019849,38.01223429007408
literature_2019_2020,C,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.08440681101052294,44.16143257691639,26.52225810571622,-0.04290318422546813,-0.12748075649040058,53.51334517232347,25.400871800270476,41.938768638766575
literature_2019_2020,C,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-0.07165859825821586,43.90108576031278,26.74083308249189,-0.024124637961479456,-0.07936987842997789,53.029375226207264,25.135671237350188,41.27458726164837
literature_2019_2020,C,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-0.09721552737002703,44.421478309396115,27.450277298054125,-0.07008985334961126,-0.2829467918757018,54.20635766178399,29.247232630768867,54.13249375340116
literature_2019_2020,D,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.0022468304507321513,44.88307035132255,18.862622135127584,-0.009631335689645582,-0.06880456958439529,57.841087426971335,22.03837367825163,42.36785050412269
literature_2019_2020,D,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,0.06987203677984377,43.23809617586237,20.069465091843842,0.023862886486594737,-0.22673214906685835,56.873564910709725,24.070929356228177,58.13711681654644
literature_2019_2020,D,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,0.053344323708804375,43.620559755310985,19.73791129119594,0.03942146570210081,-0.19655086175272984,56.41849245566349,23.362849533597746,56.27261897990595
literature_2019_2020,D,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,0.07501969645837359,43.11828265528014,18.69745043472063,0.03544701997477262,-0.1076548059897946,56.53508925833491,22.54605747058167,47.28691868705395
literature_2019_2020,D,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,0.06713129802523532,43.30175255539298,18.945723743818508,0.026517400139435265,-0.17850538911086034,56.79618109312337,23.253089798180905,52.037355517227766
literature_2019_2020,D,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.005812795568382434,44.96284578511571,19.93455489876187,-7.7324007749976875,-0.7038773512806185,170.1068758030407,39.007538147199284,160.11116286608333
literature_2019_2020,D,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-0.6439336098266237,57.48272526762694,22.689675778242634,-1.6715011874241807,-0.6760019547309959,94.08767230630971,31.693095825841798,129.114213252433
literature_2019_2020,D,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-103.69415339792582,458.72924402316386,59.016006830952385,-2.402419772614344,-1.1405490212802794,106.18153157834637,37.12495551955961,143.21482266525643
literature_2019_2020,E,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.01619539324147068,52.73092340460668,10.428330300996663,0.05794602773717006,0.04869328309276044,10.89696175150837,7.1279229762307175,26.621071123118334
literature_2019_2020,E,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,-0.019635743848369858,52.82010880175225,11.023447366276796,-0.09054627699171314,-0.044028887918428294,11.724371839448992,8.130886831415724,28.97612278347832
literature_2019_2020,E,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,-0.010139649552536323,52.57357073680725,10.55519990128946,0.06585881353623924,0.06802057544568163,10.851100710814674,7.383975102685123,26.812569639929272
literature_2019_2020,E,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.012137142475042717,52.62552566765655,10.435140776080976,0.057736164959703684,0.060843397354962914,10.898175450180872,7.266454345601222,26.646541023999816
literature_2019_2020,E,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,-0.014830113605213358,52.69548895297366,10.557309829310325,0.047079399460364324,0.058389776577429164,10.959629982987138,7.323834961674408,26.543623973313668
literature_2019_2020,E,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.01520159832553114,52.70513282222929,11.314123667534975,0.08568267869078772,0.06591557401415848,10.73534504378407,7.515924114252301,27.91809508771695
literature_2019_2020,E,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-0.02010759322058675,52.832328975780875,10.866200244340655,0.05919733694796703,0.0527066024409486,10.889722251467715,7.518433545339214,27.95630921708862
literature_2019_2020,E,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-0.023820610661135833,52.92839196973229,11.474068634096088,-1.4764016724975648,-1.0076088153819946,17.66762115967862,13.167176424866355,53.927932352262395
literature_2019_2020,F,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,0.019369357346111227,105.65607118200735,44.57406496259619,0.028911624333633035,0.27026537641104276,84.57590184371537,38.63857614540189,52.221759422080375
literature_2019_2020,F,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,0.08040399263838705,102.31522554952065,45.51850314746918,0.09616070951732514,0.20530413978232076,81.59487246131756,38.4625796364113,57.737554250274535
literature_2019_2020,F,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,0.08671754392946174,101.96339442803507,43.75975984933881,0.021749484031533428,0.23809227129603594,84.88721834803542,39.52195973210055,57.500278270915764
literature_2019_2020,F,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,0.036602736801758184,104.72356826471334,45.06773576915951,0.041379407523219225,0.24432501715731425,84.03121377544363,39.58626766376251,53.17334219918267
literature_2019_2020,F,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,0.05878164662052865,103.51109934160478,43.70561099718874,0.03268118609264126,0.2155909671800733,84.41158926019475,39.4405143390035,55.732524438262175
literature_2019_2020,F,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.45341099952588015,128.62812789450226,54.92367846970384,-6.317816924696903,0.004210018213625766,232.1710309175322,64.61228578127327,78.84932685063328
literature_2019_2020,F,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-1.4377679404861627,166.58577288156837,61.253087280106065,-7.112721910739836,-0.06816252757655317,244.4559173766534,68.7687345705808,79.34659490223214
literature_2019_2020,F,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-17.450063297781515,458.29029205025626,251.52804524481917,-0.9608922760878,-0.30910709877128584,120.183300799461,58.85323216841056,85.75973060941577
literature_2019_2020,G,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.007591723452238908,320.4300101039872,70.54297998604537,-0.0414402176365003,-0.01645353414840467,127.15538518917708,44.361511850612494,29.660104519743015
literature_2019_2020,G,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,-0.011041595356961587,320.9780981116276,73.78931494758088,0.031681771311818374,-0.07490096713675198,122.6102108054537,51.29875452413619,40.92405674033552
literature_2019_2020,G,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,0.010231996688057632,317.5832529349582,70.64807675292401,0.02049317576848586,0.014805754763174361,123.3165364587492,46.501479716862356,35.73621551980433
literature_2019_2020,G,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.003299542594272342,319.74679122774796,68.91459512019526,-0.03528047334542039,0.0005598681569807251,126.77878832117457,43.70084155111032,27.699799098661227
literature_2019_2020,G,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,0.010491569276114943,317.54160614896966,70.65768051282366,-0.02787273550797753,-0.0771771763680007,126.32440419432587,47.95885544569071,36.27061807132433
literature_2019_2020,G,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.025566792642033986,323.2755526535603,76.01638137843382,-0.013100645781093823,-0.12791734730587856,125.41338254409222,47.01497769297591,34.33142070720023
literature_2019_2020,G,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-0.22967383264552654,353.9858102833805,88.2082892431403,-0.03941202444212166,-0.23867985605199316,127.03150800105004,46.83887797412151,33.37850745713233
literature_2019_2020,G,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-4.940013977484266,778.0090004964986,296.8151071553475,-0.6339091714244429,-2.5283439394535376,159.26910537720508,96.93585164776725,111.50485210737722
literature_2019_2020,H,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.019237222218393857,0.46373657399480567,0.10684705648300558,-0.020979801439768186,-0.003044109389175542,0.360769166821633,0.10645993062811407,40.02721339639386
literature_2019_2020,H,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,0.003366689235864695,0.45856553493198465,0.11086830176488854,0.05593337485386951,0.1085098008672194,0.3469142668655404,0.10603708428642372,46.95972707020533
literature_2019_2020,H,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,-0.009410239713129709,0.46149559967733517,0.10820908265834298,0.03140106166003709,0.07738486940035971,0.35139277897675547,0.10616811427626408,45.76164568041218
literature_2019_2020,H,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.0031286227031590563,0.4600574020806239,0.10783802002996086,0.04563771729286492,0.09550993170446942,0.3488007996516288,0.10481172758794363,42.07607558186594
literature_2019_2020,H,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,-0.011713129757066953,0.4620217327161611,0.10719518725189331,0.016733352548054414,0.0542660694955458,0.3540433914735049,0.10783031761644979,47.64026537045725
literature_2019_2020,H,external_covariates,distributional_robust,Huber_yj,failed: Input contains NaN.,815,267,100,112,,,,,,,,
literature_2019_2020,H,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,0.12282197248565718,0.43020710998694883,0.14114427488871276,0.1457914563389996,0.19578916366853116,0.3299915306549305,0.10683331262811727,47.66057552759413
literature_2019_2020,H,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,0.14821645404369055,0.423934083719277,0.154002764968465,0.26718110623273705,0.21906075552247983,0.3056463171924401,0.1373948072493339,116.39996859799405
temporal_2022_2026,A,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,938,245,34,112,0.06256666167575442,19.68763821069691,6.781647316241249,0.09815014899892427,0.19332676607915988,18.238730687552806,6.879959871079018,42.48787178887157
temporal_2022_2026,A,external_covariates,distributional_robust,HistGBR_squared_yj,ok,938,245,34,112,0.0485199983064063,19.83459125410093,7.092044904012994,0.22385390303618713,0.21971873226234728,16.919956049862115,7.110235542439822,48.120538861873335
temporal_2022_2026,A,external_covariates,distributional_robust,ExtraTrees_yj,ok,938,245,34,112,0.039257426715941124,19.930901403338876,6.935756775162673,0.09387758457626705,0.16169771823743895,18.281883145172053,7.372941975179442,47.78608113122832
