cutoff_year,feature_set,target,model,status,n_train,n_test,test_year_min,test_year_max,n_features,r2,r2_log1p,rmse,mae,mape
2020,external,F,LightGBM,ok,890,82,2020,2026,128,-0.013138611801144284,-0.06649098263368614,811.2852844019102,157.40908155926903,62.38478741248551
2020,external,G,HistGBR,ok,890,82,2020,2026,128,-5.308507522629094,-1.5806414936169095,115.54019584820477,55.59199903771134,78.8510562149094
2020,external,H,LightGBM,ok,890,82,2020,2026,128,0.05365663083088623,0.10709171761734548,0.6479578814142904,0.15684289407218735,121.93543017996487
2021,external,A,HistGBR,ok,915,57,2021,2026,128,0.2507165186463415,0.24084713905971022,14.040895893626166,6.574743610867055,42.720852106385216
2021,external,B,ElasticNet,ok,915,57,2021,2026,128,0.5233449482022261,0.38235896038664097,2.479989970162566,1.229476069540657,318.7447512113614
2021,external,C,CatBoost,ok,915,57,2021,2026,128,-0.0471005627498271,-0.45087232265952704,37.059999615209996,27.761129278536785,81.01821621255932
2021,external,D,ExtraTrees,ok,915,57,2021,2026,128,0.264758617780238,0.33848868888079553,36.85554132473201,15.512071846602742,33.619457155001555
2021,external,E,XGBoost,ok,915,57,2021,2026,128,0.5570156246407492,0.27881452711183374,13.176320472282287,6.833694861696477,22.57923407778505
2021,external,F,HistGBR,ok,915,57,2021,2026,128,-0.0261071610700514,-0.4185853375429054,972.8560899026156,213.26657755868857,65.80394879453549
2021,external,G,CatBoost,ok,915,57,2021,2026,128,-5.496358249784961,-1.1950047667114214,100.76819867666015,45.480937505719666,72.19755196500391
2021,external,H,HistGBR,ok,915,57,2021,2026,128,0.08377593582523435,0.16724933706002876,0.7613849598458095,0.19943216490232046,154.69896727471306
2022,external,A,HistGBR,ok,938,34,2022,2026,128,0.22596567228565434,0.26482968189834577,16.896922125733212,6.891527132521372,45.9045490661058
2022,external,B,LightGBM,ok,938,34,2022,2026,128,0.36623226503167416,0.1800680590606849,1.6372524987761534,0.7867080095399386,338.60984387140985
2022,external,C,XGBoost,ok,938,34,2022,2026,128,0.013859049900205034,-0.13161805898681722,33.78318730400613,21.167601070628447,57.07191873576738
2022,external,D,LightGBM,ok,938,34,2022,2026,128,0.29494588190746485,0.47865553110948456,42.3178275007195,15.563450195495069,27.235250534585205
2022,external,E,CatBoost,ok,938,34,2022,2026,128,0.5560682679082553,0.3248271020526662,16.213727597451566,7.886879426709007,22.101687479518226
2022,external,F,LightGBM,ok,938,34,2022,2026,128,0.044467685598010176,-0.664521759517255,78.63396327441826,50.61238781343675,38.13758142958329
2022,external,G,XGBoost,ok,938,34,2022,2026,128,-0.19092439315013943,-0.2599887847677993,29.943847133642535,21.704165943818936,41.62168009666479
2022,external,H,LightGBM,ok,938,34,2022,2026,128,0.025199169788019726,0.05712045971048485,0.23281127901004872,0.10475791819353243,167.86470364507662
2023,external,A,ElasticNet,ok,954,18,2023,2026,128,0.21099435235448338,0.12063616007672917,6.0980827660849775,4.963736647582536,59.599255751595905
2023,external,B,ElasticNet,ok,954,18,2023,2026,128,0.12450687814950001,0.3597829104755612,0.6698914136928131,0.49030576945927457,191.36871259313622
2023,external,C,ElasticNet,ok,954,18,2023,2026,128,0.18476825876329617,0.13646605588876626,35.02569760819763,23.42399060093653,57.48421189100691
2023,external,D,CatBoost,ok,954,18,2023,2026,128,0.5286571274270786,0.3178419912140801,8.295295900376715,6.670389385840817,23.29751002558587
2023,external,E,ElasticNet,ok,954,18,2023,2026,128,0.07286120993436573,0.11199108865834939,17.76461645964092,7.823272106114629,25.239306944598134
2023,external,F,ExtraTrees,ok,954,18,2023,2026,128,0.1636867872008807,-0.07249399022766378,85.84634766004432,51.52967064780863,31.473423377168885
2023,external,G,ElasticNet,ok,954,18,2023,2026,128,-0.4012472282935613,-0.5155749887056105,22.01677712860993,17.167208942739236,31.33809122663908
2023,external,H,CatBoost,ok,954,18,2023,2026,128,0.23179977744011093,0.20064284644279384,0.09382873023374652,0.07592287291464274,231.10778937799387
