target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
E,random_fivefold_cv,pooled,LightGBM,ok,778,972,0.014814551662664988,0.04109191199867179,28.6208056205453,7.518166600336274,21.264048448847962
E,random_fivefold_cv,1,ExtraTrees,ok,777,195,0.1433199193735588,0.1444725638736466,7.7594756075427975,5.332453862698755,19.931994791542287
E,random_fivefold_cv,2,ExtraTrees,ok,777,195,-0.00714435932477997,0.030460085271247883,53.29438974267461,9.13043945297998,21.262852503888457
E,random_fivefold_cv,3,ExtraTrees,ok,778,194,0.11057767056382328,0.13087040940983086,7.791551026206331,4.936575877695272,17.003684810889823
E,random_fivefold_cv,4,ExtraTrees,ok,778,194,0.028157760988292146,0.05889099247492735,22.737969234444357,7.109142792748946,20.58906058591084
E,random_fivefold_cv,5,ExtraTrees,ok,778,194,0.03393616701414526,0.14009381618220784,25.038776015117108,8.227710021785024,18.686108992907776
E,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.010993331664008732,0.09439169231054778,28.676257388956355,6.947849138734388,19.497009232728843
F,random_fivefold_cv,1,RF,ok,777,195,0.09821619904835721,0.44936701515003286,253.3792702686455,61.97139985273452,59.58277590820656
F,random_fivefold_cv,2,RF,ok,777,195,0.35130737568647885,0.2768071819864406,57.8996048273991,32.55328290184711,78.43915877132825
F,random_fivefold_cv,3,RF,ok,778,194,0.005438699572091088,0.3974776559131139,518.3380638575688,64.08832362264226,60.94719326336371
F,random_fivefold_cv,4,RF,ok,778,194,0.10756243620607797,0.3487238695004421,120.56651261120834,35.206515407951585,54.19483389348223
F,random_fivefold_cv,5,RF,ok,778,194,0.04801923224172899,0.42746782346103673,165.9580634297764,50.42922078969273,46.031397259920986
F,random_fivefold_cv,pooled,RF,ok,778,972,0.03639738579005902,0.3892979483233975,274.90915568627815,48.846482245143015,59.8579440322655
F,random_fivefold_cv,1,XGBoost,ok,777,195,0.09310563829858465,0.45652469190563705,254.09622743386316,61.598111566827235,58.508419764853016
F,random_fivefold_cv,2,XGBoost,ok,777,195,0.32373520671190503,0.3003661427205382,59.11728884392657,32.188701092098924,74.76719536501797
F,random_fivefold_cv,3,XGBoost,ok,778,194,0.011941130538839606,0.39836510250368484,516.6408408896967,64.53508696256029,63.48133000818596
F,random_fivefold_cv,4,XGBoost,ok,778,194,0.09673144049854032,0.3556590171698749,121.2959289836132,36.46871350284065,52.628768885381895
F,random_fivefold_cv,5,XGBoost,ok,778,194,0.05829992405421369,0.41297413267218797,165.05951845300768,51.0809087780038,47.176544746699264
F,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.03988038309868769,0.39318420396611886,274.4118683998117,49.169611174599915,59.32752450260973
F,random_fivefold_cv,1,LightGBM,ok,777,195,0.1305598566956513,0.4338854201426481,248.79388990606546,62.14687192342315,64.38790049041432
F,random_fivefold_cv,2,LightGBM,ok,777,195,0.1786355618606844,0.20425250187118815,65.15144725714185,36.04113555836578,82.38513069181805
