module_id,module_name,candidate_module_id,candidate_module_name,target,candidate_source_file,source_file,source,protocol,method,model,n_train,n_test,r2,rmse,mae,mape,module_description
M4,加时间加权,M2,加两阶段高污染模型,B,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,two_stage_high_pollution,CatBoost,938.0,34.0,-0.0421586059157335,2.09950787877498,1.0348015252730651,401.96567213345816,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M1,加空间分区,C,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0297864792512657,33.50925601659731,22.173775936952733,57.75521366753401,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M1,加空间分区,D,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,NGBoost,938.0,34.0,0.2891750437945674,42.49065937946107,15.20413020978372,25.74314120712877,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M1,加空间分区,E,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.3526977686259215,19.57845105247285,9.860954166406252,25.0172769755162,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M1,加空间分区,F,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0499707038367712,78.40720539567539,50.68452550118947,39.320544177193305,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M4,加时间加权,G,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,temporal_weighted,PLSR,938.0,34.0,0.1130874662788906,25.840796608068377,20.383590330658198,41.11350703143138,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M4,加时间加权,M1,加空间分区,H,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,CatBoost,938.0,34.0,0.0006493943830438,0.2357246565020101,0.1215256388894701,215.2993363035081,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
M5,加多任务潜变量,M4,加时间加权,A,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,temporal_weighted,LightGBM,938.0,34.0,0.4447405502320772,14.311180881210284,7.207167503753856,53.850362722247965,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M5,加多任务潜变量,B,tables/multitask_latent_best_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,multitask_latent_pca,Latent_ExtraTrees,938.0,34.0,0.1078093327688661,1.9425823440011536,0.8809979459527045,388.74248982219297,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M1,加空间分区,C,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0297864792512657,33.50925601659731,22.173775936952733,57.75521366753401,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M1,加空间分区,D,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,NGBoost,938.0,34.0,0.2891750437945674,42.49065937946107,15.20413020978372,25.74314120712877,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M1,加空间分区,E,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.3526977686259215,19.57845105247285,9.860954166406252,25.0172769755162,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
M5,加多任务潜变量,M1,加空间分区,F,tables/innovation_model_metrics.csv,tables/multitask_latent_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0499707038367712,78.40720539567539,50.68452550118947,39.320544177193305,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。
