lon,lat,year,target,observed,predicted,tier,selected_model,abs_error,sq_error,sq_error_share
112.49,37.55,2024,C,16.63,39.86,publication_grade,KNN12_Q20,23.23,539.6329000000001,0.015962307167303433
111.72,36.57,2022,C,17.01,39.14,publication_grade,KNN12_Q20,22.13,489.73689999999993,0.014486386632399475
104.161165,36.599898,2022,D,311.0,96.0,publication_grade,Grid10_Q75,215.0,46225.0,0.8489523099905325
101.07,37.78,2022,D,130.0,187.675,publication_grade,Grid10_Q75,57.67500000000001,3326.4056250000012,0.06109161145071394
113.0381,33.3216,2023,D,18.28,49.77,publication_grade,Grid10_Q75,31.490000000000002,991.6201000000001,0.018211750665831108
111.0,35.03,2022,D,23.4,49.77,publication_grade,Grid10_Q75,26.370000000000005,695.3769000000002,0.01277105085060153
111.0,35.03,2024,D,27.15,49.77,publication_grade,Grid10_Q75,22.620000000000005,511.6644000000002,0.009397050823578583
121.5667,37.15,2022,D,45.0,25.83,publication_grade,Grid10_Q75,19.17,367.48890000000006,0.006749173619272684
112.4539,34.6197,2022,D,30.9,49.77,publication_grade,Grid10_Q75,18.870000000000005,356.0769000000002,0.006539584787220509
118.0,31.75,2025,D,30.0,46.275,publication_grade,Grid10_Q75,16.275,264.87562499999996,0.004864613817283634
110.828,24.832,2024,E,106.31,48.36499579881853,publication_grade,HistGBR_raw,57.94500420118147,3357.6235118749382,0.45899874741020263
104.161165,36.599898,2022,E,76.0,38.93524034446209,publication_grade,HistGBR_raw,37.06475965553791,1373.796408322791,0.18780272070011741
113.0381,33.3216,2023,E,9.31,40.46261373680662,publication_grade,HistGBR_raw,31.152613736806614,970.4853426346722,0.1326687030495954
112.4539,34.6197,2022,E,50.75,30.00740024081473,publication_grade,HistGBR_raw,20.74259975918527,430.2554447697529,0.05881740746610903
111.536729,24.341515,2022,E,38.14,50.51729915461359,publication_grade,HistGBR_raw,12.377299154613588,153.19753436279825,0.0209426328265106
111.621655,27.881375,2023,E,38.9,26.977260972464183,publication_grade,HistGBR_raw,11.922739027535815,142.15170591872567,0.01943262987293164
80.5515,44.20251,2023,E,30.251,42.074339429546825,publication_grade,HistGBR_raw,11.823339429546824,139.7913552662766,0.019109961774768966
101.07,37.78,2022,E,143.66,133.95390568914397,publication_grade,HistGBR_raw,9.706094310856031,94.2082667712318,0.01287859591486332
104.161165,36.599898,2022,F,305.0,74.12910766722703,publication_grade,LightGBM,230.87089233277297,53301.36892653085,0.36781792121799156
105.424,33.563,2023,F,340.23,109.62535307745416,publication_grade,LightGBM,230.60464692254584,53178.503182272034,0.36697005889189505
110.828,24.832,2024,F,415.87,314.5895362502579,publication_grade,LightGBM,101.28046374974213,10257.73233736283,0.07078575767800514
126.9607,46.652,2026,F,131.1,54.92331074114335,publication_grade,LightGBM,76.17668925885664,5802.887986440404,0.040044115924590486
123.959,47.341,2026,F,133.2,77.08341918577402,publication_grade,LightGBM,56.11658081422597,3149.0706422795542,0.021730860590248986
117.308036,38.933969,2022,F,111.0,58.621882586775065,publication_grade,LightGBM,52.378117413224935,2743.467183753577,0.018931903941321458
101.07,37.78,2022,F,76.4,125.06953018961906,publication_grade,LightGBM,48.66953018961905,2368.7231688782404,0.016345899729491138
127.4947,50.2322,2026,F,116.0,74.58782094700926,publication_grade,LightGBM,41.41217905299074,1714.9685739169647,0.011834521111114308
121.5667,37.15,2022,G,14.92,69.99950000000001,publication_grade,KNN20_Q45,55.07950000000001,3033.7513202500013,0.23424862466264426
111.621655,27.881375,2023,G,32.67,78.019,publication_grade,KNN20_Q45,45.349000000000004,2056.5318010000005,0.15879341946839018
118.0,31.75,2025,G,43.5,80.13,publication_grade,KNN20_Q45,36.629999999999995,1341.7568999999996,0.1036026606263536
112.49,37.55,2024,G,98.5,67.665,publication_grade,KNN20_Q45,30.834999999999994,950.7972249999996,0.07341502937391545
111.536729,24.341515,2022,G,194.05,163.40000000000003,publication_grade,KNN20_Q45,30.649999999999977,939.4224999999986,0.07253673929477131
105.360106,27.336948,2023,G,64.4,94.4025,publication_grade,KNN20_Q45,30.002499999999998,900.1500062499998,0.06950434583964414
113.0381,33.3216,2023,G,101.07,71.1725,publication_grade,KNN20_Q45,29.897499999999994,893.8605062499996,0.06901870724593952
118.45,31.2128,2022,G,59.09,80.625,publication_grade,KNN20_Q45,21.534999999999997,463.75622499999986,0.035808557266993654
111.536729,24.341515,2022,H,1.33,0.1455999999999999,publication_grade,KNN80_Q85,1.1844000000000001,1.4028033600000003,0.8059324714890151
104.161165,36.599898,2022,H,0.51,0.2052499999999997,publication_grade,KNN80_Q85,0.3047500000000003,0.09287256250000019,0.05335673977081375
80.5515,44.20251,2023,H,0.013,0.1616499999999999,publication_grade,KNN80_Q85,0.1486499999999999,0.022096822499999967,0.012694970141416718
105.97,31.5148,2023,H,0.043,0.1874499999999999,publication_grade,KNN80_Q85,0.1444499999999999,0.020865802499999975,0.011987729897101649
110.828,24.832,2024,H,0.03,0.1702499999999997,publication_grade,KNN80_Q85,0.1402499999999997,0.01967006249999992,0.01130075856459905
105.424,33.563,2023,H,0.34,0.2052499999999997,publication_grade,KNN80_Q85,0.13475000000000031,0.018157562500000085,0.010431803657671112
104.5686,30.7875,2022,H,0.067,0.1874499999999999,publication_grade,KNN80_Q85,0.12044999999999989,0.014508202499999973,0.008335189258235084
112.85,35.49,2022,H,0.04,0.1408999999999999,publication_grade,KNN80_Q85,0.10089999999999988,0.010180809999999976,0.005849034582480654
