target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
D,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.31354999269288775,-0.0472376130562433,57.76109800356833,26.05933851759429,50.57966410571263
D,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.34258823531651283,-0.1259090230623603,58.39606129909524,26.606590375891056,47.975739277191295
E,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-0.7446102976002411,0.000393375524235795,32.1420811613288,14.012620539778213,32.84114500243589
E,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.5383306312850624,0.006459332272982565,30.182111662723308,13.412134978321191,32.835059778959284
E,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.35571584350586494,0.002228793302515686,28.334079839255807,13.046062475789805,33.54847343337081
E,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.06148090355540936,-0.03143672401697306,25.071531879793223,12.695838741860818,36.12054357510598
E,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.40867122083650864,0.027253558962592406,28.88215528363521,13.08531085848953,33.233848647967655
E,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.13874683727173598,0.012838043269290167,25.96799204781322,12.561756433053128,34.8793310657556
E,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,0.20305785026093237,-0.09610995737641748,21.723919063832536,12.433839942717924,40.770056882468644
E,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.6395516355936639,0.11553171581641919,31.15927376835368,13.605801672874733,32.47194884932293
E,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.5571227851683551,0.16322409965998297,30.365903493695264,13.49115368810231,33.039797641492754
E,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.4601545190615406,0.10363433453215476,29.40520327943877,14.370527801179849,37.52556809603933
E,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.6792170871757524,0.05287474666178238,31.53393731819015,13.802508567709097,33.056306646003804
E,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.6246137213953527,0.07708431599803689,31.01700328675484,13.818209360460385,34.00133841062077
E,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.5477765237668202,0.060720199620565185,30.27463425356845,14.213317885955748,37.0275269299944
E,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-0.7206673899214562,0.020467862444351392,31.920761375504725,14.458903345267883,35.002962522620734
E,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-0.746328853766925,-0.038159714384013776,32.1579082991431,15.454099271790733,38.748987675538515
E,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-0.9464648960306168,-0.3113294239466635,33.95064781216415,18.090722368987816,48.26672017668487
F,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-0.4590606576691356,-2.4407192876008845,97.16819819221153,70.22853535768039,68.53780424950303
F,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-9.08573457210797,-5.423410282447608,255.47078546641941,207.1420959762447,237.406042567408
F,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-36.67854877896795,-10.556120324964358,493.7812100238608,389.44930162192804,452.835795316696
F,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-148.76259806995134,-18.56724785750662,984.4397892410166,757.8678906687335,886.1165501760942
F,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.1298588665441351,-1.6778890309880534,117.3985922108538,91.1906534640965,107.06477440529356
F,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-4.482295543030947,-3.6665407804175336,188.3513329447514,147.14449997253118,181.3158439966347
F,temporal_2022_2026,spatial_baseline_residual_fixed,ExtraTrees_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-19.232084298840014,-7.8951234144867115,361.8326800158155,279.7991109711607,345.54574513893533
F,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.1582558738386433,-1.5580331789708737,118.17862746821051,94.077112539593,99.56387829812182
F,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-3.5301366275582557,-3.46908030782092,171.21551882010704,148.45223478701524,165.55749408814162
F,temporal_2022_2026,spatial_baseline_residual_fixed,HistGBR_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-13.291954747647802,-7.6821805364823526,304.11181431610424,275.4905657872762,313.27725428902113
F,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-7.408204270526674,-7.550267594843557,233.25937249796416,174.33813289783564,200.30588499990998
F,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-27.865488324896628,-13.219117708671494,432.1922057636177,323.4325466657052,379.32734478678077
F,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-108.96881382660916,-27.607206150395324,843.5721751128336,624.1700234346448,738.1000684267128
F,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-1.3455331474597712,-9.988723281484116,123.19930657253393,102.45644903340612,113.43838092121162
F,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha0.50,ok,938,34,2000,2021,2022,2026,-5.103571623051416,-16.98165131433911,198.7373518449506,167.6966031978832,190.06419636413733
F,temporal_2022_2026,spatial_baseline_residual_fixed,LightGBM_raw_alpha1.00,ok,938,34,2000,2021,2022,2026,-21.5731518716888,-21.052093177377717,382.19374732944317,307.82745165995743,344.90863148401917
G,temporal_2022_2026,spatial_baseline_residual_fixed,IDW_background_alpha0,ok,938,34,2000,2021,2022,2026,-20.041816564584625,-1.9635179885243468,125.86561921174284,55.828670000871476,77.36301550058599
G,temporal_2022_2026,spatial_baseline_residual_fixed,RF_raw_alpha0.25,ok,938,34,2000,2021,2022,2026,-13.610263786037534,-2.26768590968472,104.88044712282647,53.33581723834076,87.93264420307402
