feature_set,protocol,target,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
baseline,temporal_2022_2026,F,LightGBM,ok,938,34,28,-0.011053335150798205,-0.5161266761471526,80.88621417822648,49.78001432419002,36.66284797736362
baseline,temporal_2022_2026,F,CatBoost,ok,938,34,28,-0.1492667217172461,-1.0032908586686058,86.23784426699828,54.66768443976391,41.79283389727341
baseline,temporal_2022_2026,F,NGBoost,ok,938,34,28,-0.12372939251749293,-1.0521694554548562,85.2743359689509,57.76078607753315,48.15161822891816
baseline,temporal_2022_2026,G,RF,ok,938,34,28,-0.35341104325732786,-0.49342712748869877,31.921284546534647,24.32455537084373,48.10747701357741
baseline,temporal_2022_2026,G,ExtraTrees,ok,938,34,28,-0.41636326942430824,-0.4553682374575996,32.655236200282964,24.417817674635405,47.03488183738311
baseline,temporal_2022_2026,G,HistGBR,ok,938,34,28,-0.4917168699956369,-0.56040931835092,33.51264470265814,23.79307429268468,47.94505766382361
baseline,temporal_2022_2026,G,ElasticNet,ok,938,34,28,0.036487862817479955,-0.24634758587608774,26.933580805203338,20.874722744261366,42.39618777651323
baseline,temporal_2022_2026,G,PLSR,ok,938,34,28,0.11308746627889066,-0.18891812063336078,25.840796608068377,20.383590330658194,41.11350703143138
baseline,temporal_2022_2026,G,XGBoost,ok,938,34,28,0.04888142520988481,-0.22699303402572157,26.759798151220796,20.684102346083698,41.686194922001874
baseline,temporal_2022_2026,G,LightGBM,ok,938,34,28,-0.6459397172514694,-0.6564914633673824,35.2024154555604,25.473288793695374,50.488925771904704
baseline,temporal_2022_2026,G,CatBoost,ok,938,34,28,-0.08714612127247578,-0.23448598703225043,28.60944691205976,21.40030712561482,41.609107004342974
baseline,temporal_2022_2026,G,NGBoost,ok,938,34,28,-0.0917249053740179,-0.19685430135965043,28.66963148008515,19.348758465495568,38.120606530872536
baseline,temporal_2022_2026,H,RF,ok,938,34,28,-0.14398178040347775,-0.18798258454213101,0.25220612263091463,0.13383334468141178,232.28418515042563
baseline,temporal_2022_2026,H,ExtraTrees,ok,938,34,28,-0.11222913222024689,-0.15866300495000862,0.24868134332214717,0.13514964618021225,255.02059331450045
baseline,temporal_2022_2026,H,HistGBR,ok,938,34,28,-0.7278837100596598,-0.8125355899071109,0.30995834025279057,0.1664699443171042,296.9285458009321
baseline,temporal_2022_2026,H,ElasticNet,ok,938,34,28,-0.3668646348369149,-0.4312829500378754,0.2756822629819856,0.1488659739164704,265.50500431960825
baseline,temporal_2022_2026,H,PLSR,ok,938,34,28,-0.4987456556233212,-0.5574921891115345,0.288675575423554,0.15469827958667345,282.8413194479538
baseline,temporal_2022_2026,H,XGBoost,ok,938,34,28,-0.02548532188585506,-0.028110247525591214,0.23878706406460304,0.12149682659874944,223.71415421374257
baseline,temporal_2022_2026,H,LightGBM,ok,938,34,28,-0.13054475465240523,-0.1695488359535875,0.2507205612051698,0.13321671377791924,241.4385893274435
baseline,temporal_2022_2026,H,CatBoost,ok,938,34,28,0.011911747253158689,0.021580148809103306,0.2343926232726224,0.11907605984492378,213.07050838195912
baseline,temporal_2022_2026,H,NGBoost,ok,938,34,28,-0.08448437506891104,-0.10808873844243827,0.24556005453902996,0.12389985106230554,211.7220929290732
external_covariates,literature_2019_2020,A,RF,ok,815,100,42,0.018626855813204224,-0.01137489072546094,13.84797667463064,6.721318834722828,42.143373988520985
external_covariates,literature_2019_2020,A,ExtraTrees,ok,815,100,42,0.09968160158294914,0.10365640349150895,13.263779743058658,6.421033272792291,37.54814972707055
external_covariates,literature_2019_2020,A,HistGBR,ok,815,100,42,-0.05618599030264848,-0.10493848142197892,14.36611835567038,7.1661771999839665,44.09587248278334
external_covariates,literature_2019_2020,A,ElasticNet,ok,815,100,42,0.06272841267436391,0.08800760019373077,13.533245641579574,6.599079774245355,44.579341570223555
external_covariates,literature_2019_2020,A,PLSR,ok,815,100,42,0.009902699784204438,0.04198036023898177,13.909392966698942,6.743522587860825,44.75618903936183
