fold,target,model,family,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
P1_to_P2,D,RF,bagging,ok,254,494,2000,2008,2009,2017,-0.0029184514623585844,0.04454452926249419,42.4906361653655,16.335491948596452,42.63681240324607
P1_to_P2,D,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.0012836707492589472,0.05668411332590895,42.401527092795405,15.963167257619492,40.50349984398723
P1_to_P2,D,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,-0.0021680136389108373,-0.04001524124832634,42.4747362945819,16.33409555710716,42.93737001740342
P1_to_P2,D,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,-0.11717359261894567,-0.1990733634942261,44.84569442517974,17.68085542838744,45.537661462405126
P1_to_P2,D,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.13313445896582987,-0.26586979175291336,45.16490967432156,17.9418353569724,44.12292149256547
P1_to_P2,D,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.015197145694417546,0.006404253484406652,42.7499505446238,16.453282811752505,42.32778834488176
P1_to_P2,D,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.03525680450482538,0.012814188021357142,41.67410529376878,16.335777291200287,43.206565894759244
P1_to_P2,D,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,0.03141870882420783,0.1013570662996559,41.75692030405009,15.32620129006257,38.27327717454283
P1_to_P2,D,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.25635561569594234,-0.013806528155396736,47.55724799787092,17.204239543518632,42.272781117765945
P1_to_P2,E,RF,bagging,ok,254,494,2000,2008,2009,2017,-0.00860975470709846,-0.019815945825059522,36.30343446966212,6.956051936160329,18.190700651395332
P1_to_P2,E,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,-0.004576811089982424,-0.0008889907114169038,36.230781814652715,6.905428558615334,17.817655215572433
P1_to_P2,E,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,-0.015053756141476526,-0.1373558441913938,36.4192210324519,7.656518355733597,20.615182762088942
P1_to_P2,E,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,-0.10224307039137726,-1.2633437775988776,37.95113945051344,11.20629943355326,28.463041836097315
P1_to_P2,E,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.11122913972020099,-1.464405961829022,38.10552432748787,11.575544581830743,29.558368454772726
P1_to_P2,E,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.012570527923646102,-0.06764572224820653,36.37464574962456,7.152213176983667,19.142032453616807
P1_to_P2,E,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,-0.01510400998835415,-0.11394681954507169,36.42012255283638,7.508411121716781,20.130009759636717
P1_to_P2,E,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.011678897672251498,-0.03594428186452037,36.35862717287552,6.983330312050024,18.262798039086757
P1_to_P2,E,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.0173666078186816,-0.11745387065545687,36.46068894912794,7.36925777202364,20.076451659939536
P1_to_P2,F,RF,bagging,ok,254,494,2000,2008,2009,2017,0.017160071331949744,0.17645387831133985,199.56608647406136,56.110448087632406,84.85146980376864
P1_to_P2,F,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.040200873103714896,0.19100151661269904,197.21299118749766,56.02768977461242,89.17925615251814
P1_to_P2,F,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,0.017930728560395126,0.07077093551981817,199.48782998336262,58.7593395347904,103.12503341038845
P1_to_P2,F,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,-0.06059982710922829,-0.2825992656392624,207.31041496375968,77.40550339976961,196.88898902766724
P1_to_P2,F,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.020813077094447907,-0.20154747835159093,203.38478346511715,73.36691224971607,182.15111542327466
P1_to_P2,F,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.0225769890509514,0.12179128427848196,199.0153728306167,57.53340613567646,94.3178880392171
P1_to_P2,F,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.006766288811000498,0.10061308154919402,200.618542385991,57.70956695913408,96.62274619451846
P1_to_P2,F,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,0.02360058530302722,0.17915115944959692,198.91113712659472,55.98029514996546,86.26406683443228
P1_to_P2,F,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.01779189976331308,0.13104890440890626,199.50192963885024,57.42451422893049,91.21968265483912
P1_to_P2,G,RF,bagging,ok,254,494,2000,2008,2009,2017,0.041792779061956886,0.05274533690353245,255.8880217552516,61.9680621729502,58.80034462199032
P1_to_P2,G,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,0.04374893687336712,0.035530638712164,255.62669358332002,62.00922540959468,62.918347710161015
P1_to_P2,G,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,0.05057068333093295,-0.07943182554440353,254.71326104565927,65.05508848468932,75.64954405317312
P1_to_P2,G,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.1509913134875247,-0.04004795763172653,240.86644564811013,68.7171353809687,81.72672924412046
P1_to_P2,G,PLSR,linear,ok,254,494,2000,2008,2009,2017,0.17501229983614464,-0.0950709997561312,237.43458222077797,70.79479732504645,87.5222212235684
P1_to_P2,G,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.03486177097621834,-0.012448023492526383,256.81181270370985,63.618847775540374,64.53947266636473
P1_to_P2,G,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,0.0760787475236715,-0.022209606121657233,251.26830822990658,64.90846588615915,65.793714155443
P1_to_P2,G,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,0.035601276151640215,0.08164534398625312,256.7134070807649,59.61520394549749,57.10173672736975
P1_to_P2,G,NGBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.06129431125404139,-0.05116368038698438,269.3011173447099,67.13292350600645,70.95438540451829
P1_to_P2,H,RF,bagging,ok,254,494,2000,2008,2009,2017,-0.006333627668063668,-0.003893609418128996,0.3775216672932295,0.09752656050809609,73.98288548909203
P1_to_P2,H,ExtraTrees,bagging,ok,254,494,2000,2008,2009,2017,-0.014553776547883146,-0.02360117706778908,0.3790604079004166,0.09714993733337951,73.66394683337289
P1_to_P2,H,HistGBR,boosting,ok,254,494,2000,2008,2009,2017,-0.017283293130015753,-0.04961606204505031,0.3795699701979682,0.10719151718365989,88.37566723128346
P1_to_P2,H,ElasticNet,linear,ok,254,494,2000,2008,2009,2017,0.020130921442151117,-0.0076620430119807015,0.37252456494288133,0.12198544364152178,121.51047062282483
P1_to_P2,H,PLSR,linear,ok,254,494,2000,2008,2009,2017,-0.2497617016512259,-0.9274247049570905,0.42071160862358303,0.2383681956249992,300.99967575369504
P1_to_P2,H,XGBoost,boosting,ok,254,494,2000,2008,2009,2017,0.0004545750012783234,-0.010901480934461638,0.37624623049684003,0.10312683245195792,84.00190233377525
P1_to_P2,H,LightGBM,boosting,ok,254,494,2000,2008,2009,2017,-0.009137702201668096,-0.030689376629321252,0.3780472695700001,0.10638674780312546,87.21801113088932
P1_to_P2,H,CatBoost,boosting,ok,254,494,2000,2008,2009,2017,-0.009294203573196658,-0.008970168803968281,0.37807658302363106,0.09606611823809828,72.24411989371538
