target,model,family,split,status,n_samples,note,r2,r2_log1p,rmse,mae,mape
E,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.04006032420448202,0.12623332803766585,28.251715941732144,6.789686736406594,19.447925131135495
E,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.04494315521219039,0.12900315602717316,28.179771720772045,6.823842538740631,19.551124388289992
E,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.4239857170528444,0.6053022534422453,21.88464399092915,5.196455566717077,13.93602248400541
E,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9068391273356846,0.5201059685488261,8.801154277961617,4.853722535652192,16.842580349216423
E,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5241411879039869,0.9265346433116473,19.891242771783325,2.410657338428649,4.695320465429734
E,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8320279873114165,0.8282713765887275,11.81792754324044,3.121636375773446,9.146101952975624
E,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.33173163460832655,0.5106848601694693,23.572101982444497,5.646335142851849,15.320802785335214
E,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.86764939835087,0.445119431067278,10.490249555150438,5.342172242377867,18.305131842083828
E,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.49053386289920586,0.5969008891927946,20.581665771063903,5.2593155892021555,14.301853262747036
F,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.23360573846991584,0.8760897391609056,245.16944354825083,29.642338818691737,21.6365270339138
F,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8609050265754172,0.7376971528842755,104.44699200977789,26.920834437321925,49.24607941519749
F,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.36963314306144157,0.960049365713984,222.34988272827533,19.634039373566907,9.554731669653746
F,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.1023013881914338e-12,2.009499105752502e-13,2.9223529406195133e-13
F,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.39156638196066806,0.9598767578029137,218.4473699984645,20.13270875707601,12.01470434600261
F,HistGBR_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.6553242889287295,0.26126832316735993,164.4165607142806,33.00924559762856,62.79754189970937
F,ElasticNet,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.009689684812503319,0.30471810418922984,278.6928780919745,52.27390865049978,64.73672735501181
F,PLSR,linear,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,-0.00023274539827355945,0.29559345010622495,280.0855821301929,53.061276169259706,66.36110697585677
F,XGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.22751202819812566,0.6968287584836708,246.1422023776747,37.879209456232644,38.937000690017165
F,XGBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.9226662025961482,0.5004355815535215,77.87981073041085,32.45373137132307,75.34299476130312
F,LightGBM,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.5717995354355109,0.9707767156092617,183.25835603421677,16.65735604620328,10.93165380620964
F,LightGBM_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8468003289351582,0.5877871927594744,109.61478481760629,23.19131257454569,50.58762220516828
F,CatBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.16670154200439635,0.6314128636873222,255.64688676707166,41.067007850582094,43.58174688675985
F,CatBoost_raw,boosting_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8546729596473303,0.3738156133545997,106.76119683493748,40.26673219817532,93.23920194326722
F,NGBoost,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.24156563078850546,0.6712005611056063,243.8929360374791,38.66869176814768,40.87810568002809
G,RF,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.2309100249057442,0.7750793721128775,308.9283648540505,38.67919302302383,16.967029177099406
G,RF_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.8461477934448683,0.6357430337583664,138.17232808277038,33.41428679289333,32.90697025211383
G,ExtraTrees,bagging,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.43691512649286224,0.9194253867699408,264.3358947135907,26.03090617485893,7.773185423692036
G,ExtraTrees_raw,bagging_raw,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,1.0,1.0,1.197394562955173e-12,3.125908311346146e-13,2.7455261216380017e-13
G,HistGBR,boosting,apparent_training_fit,ok,972,训练拟合度，不作为外推验证指标。,0.33132710526512354,0.8977870234315185,288.05543243927343,31.415126993640712,10.783762333879219
