protocol,target,method,model,status,n_train,n_test,n_components,pca_explained_variance,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,H,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,0.05617038814591613,0.06856848851087671,0.22908300480935043,0.12595517390110852,246.86938484908185
temporal_2022_2026,A,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,0.07785002180268086,0.16330994504648255,18.442860097795347,7.3507364616475375,48.58396944977199
temporal_2022_2026,B,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,0.09773804649330842,0.09484204664936291,1.9535157696076053,0.8746013688667097,377.81581441773784
temporal_2022_2026,C,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,-0.042668475105104964,-0.32759547443530646,34.73795480157937,24.292629456902738,70.57173258797182
temporal_2022_2026,D,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,0.04749665035065809,0.170936781267921,49.18644028099493,17.61282628265907,29.300122646792193
temporal_2022_2026,E,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,-0.04959686252804962,0.006226438878699114,24.930789941866646,10.960194263300869,24.355860258165798
temporal_2022_2026,F,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,-0.1494768474096526,-1.058768960873648,86.24572753647566,54.2530279678959,40.10927822992787
temporal_2022_2026,G,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,-0.6489100828513321,-0.6456536119759506,35.23416537617568,26.35579274001397,51.80910341463473
temporal_2022_2026,H,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,0.07586433740959064,0.08438034556346108,0.22668038239828397,0.12986047344537832,268.89800150256065
temporal_2022_2026,A,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,0.051209928215913636,0.13662788208601961,18.707362311663445,7.253217066329189,47.876592652296154
temporal_2022_2026,B,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,0.10780933276886617,0.10500227009963992,1.9425823440011538,0.8809979459527045,388.74248982219297
