protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
temporal_2022_2026,C,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,938.0,34.0,-0.0394661292085534,-0.3233534872614481,34.68456846826277,23.56596022126305,68.27905995632406,
temporal_2022_2026,D,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,938.0,34.0,0.0578212602438938,0.1963700211660856,48.91913703805929,17.465621947055574,28.48263261420244,
temporal_2022_2026,E,multitask_latent,multitask_latent_pca,Latent_Ridge,938.0,34.0,-0.0360873087739543,0.0099213696960738,24.76982592976224,11.075252327169334,25.94123647996552,
temporal_2022_2026,F,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,938.0,34.0,-0.1282707143846018,-0.937197462487128,85.44647160127496,53.05000238349103,38.88639759287636,
temporal_2022_2026,G,multitask_latent,multitask_latent_pca,Latent_Ridge,938.0,34.0,0.0316924820111373,-0.1621507158971169,27.000521566741096,23.00879400362868,41.93194388233896,
temporal_2022_2026,H,multitask_latent,multitask_latent_pca,Latent_RF,938.0,34.0,0.0758643374095906,0.084380345563461,0.2266803823982839,0.1298604734453783,268.89800150256065,
literature_2019_2020,A,arima_lstm_temporal,hybrid_spatiotemporal_sequence,XGBoost,815.0,100.0,0.0947088603442941,0.0792249536187045,13.300359312852065,6.499627145690917,39.59095896794747,
literature_2019_2020,B,arima_lstm_temporal,hybrid_spatiotemporal_sequence,ElasticNet,815.0,100.0,0.0644033867792837,0.0362070122762266,2.102598928122304,0.9373208298671224,206.94642953980676,
literature_2019_2020,C,arima_lstm_temporal,zone_temporal_baseline,ZoneLinearTrend,815.0,100.0,0.0170931440302034,-0.0412179349234054,51.9512839569934,25.458197626778183,44.668805481412846,
literature_2019_2020,D,arima_lstm_temporal,zone_temporal_baseline,ZoneLinearTrend,815.0,100.0,0.0527425910674067,-0.3888537732526935,56.02592608790181,27.42051244785849,79.74200681796074,
literature_2019_2020,E,arima_lstm_temporal,hybrid_spatiotemporal_sequence,XGBoost,815.0,100.0,0.0647361288775872,0.0808510858904609,10.857619375428971,7.657217662811279,27.62798958673502,
literature_2019_2020,F,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,815.0,100.0,0.0976504086996405,0.2040728955202845,81.52760279152324,39.64159178192954,68.07450067777503,
literature_2019_2020,G,arima_lstm_temporal,hybrid_spatiotemporal_sequence,XGBoost,815.0,100.0,0.0232974367261464,0.0160912894628808,123.13988653460454,49.885089255676256,39.90850477402406,
literature_2019_2020,H,arima_lstm_temporal,hybrid_spatiotemporal_sequence,HistGBR,815.0,100.0,0.4704813695566576,0.4666911911734784,0.2598133488044701,0.1266541172277011,113.91754247582394,
temporal_2022_2026,A,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,938.0,34.0,0.2150397222145122,0.1204530034842429,17.015759231349932,7.426875960762005,52.39703677783808,
temporal_2022_2026,B,arima_lstm_temporal,hybrid_spatiotemporal_sequence,LightGBM,938.0,34.0,0.1615737890157008,-0.0193688717234641,1.8831417959737733,0.9256855136387264,392.8884745566219,
