protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,E,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.08176303419607467,-0.02437119428831691,11.677062435121654,8.253669871681097,29.362985002539453
literature_2019_2020,E,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,-0.09421088169053693,-0.024897031093590094,11.744054247780673,8.334461994042936,29.38604423856827
literature_2019_2020,E,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.06473612887758728,0.08085108589046097,10.857619375428971,7.657217662811279,27.62798958673502
literature_2019_2020,F,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.0028627662989240132,-0.14350055284847518,85.94844295086476,50.97894805970148,106.77355471823392
literature_2019_2020,F,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.05170278351679536,-0.5803720779369206,88.01643446520437,60.10175664242957,157.92729138940453
literature_2019_2020,F,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.021060057960928358,-0.4463283674414211,86.72471943891696,57.58769552808096,143.735512041538
literature_2019_2020,F,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.04194600554651773,-0.3018575961505847,87.6072134317719,53.78767652211507,123.83573545790625
literature_2019_2020,F,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,-1.0051699438753983,-1.0482222813145143,121.53261783733434,86.99224984884805,212.56529952735247
literature_2019_2020,F,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-0.08554187681841396,-0.29434051167334996,89.42121172882949,57.04256492892678,121.63239970007096
literature_2019_2020,F,hybrid_spatiotemporal_sequence,ElasticNet,ok,815,100,54,-0.30606328694464713,0.20243896088424396,98.08427144497529,45.84765495273945,70.59811392144162
literature_2019_2020,F,hybrid_spatiotemporal_sequence,HistGBR,ok,815,100,54,-0.09422047667049838,0.1612325542926908,89.77794877601644,44.49125471389421,71.80191230379131
literature_2019_2020,F,hybrid_spatiotemporal_sequence,LightGBM,ok,815,100,54,0.09765040869964059,0.20407289552028451,81.52760279152324,39.64159178192954,68.07450067777503
literature_2019_2020,F,hybrid_spatiotemporal_sequence,XGBoost,ok,815,100,54,0.09701246164202759,0.29205219254840487,81.55641707007351,38.04168215026856,57.69977009317607
literature_2019_2020,G,pure_temporal_baseline,LastAnnualMean,ok,815,100,1,-0.04314066807032879,-0.6373428042273805,127.25915170276357,72.73216432835821,75.3515397668111
literature_2019_2020,G,pure_temporal_baseline,LinearAnnualTrend,ok,815,100,1,-0.11270818020359852,-1.0269881582892024,131.43415148210724,84.51220062649492,92.46132393978462
literature_2019_2020,G,pure_temporal_baseline,ARIMAAnnualMean,ok,815,100,1,-0.12652462038585144,-1.1113731285411124,132.24763955875136,86.66800976545393,95.95692387348129
literature_2019_2020,G,pure_temporal_baseline,LSTMAnnualMean,ok,815,100,1,-0.11219934201513881,-0.33745029949054683,131.40409581956217,49.180227904634854,31.305674164951192
literature_2019_2020,G,zone_temporal_baseline,ZoneLinearTrend,ok,815,100,2,-0.29006827754066555,-1.0275882715385656,141.52199217707107,82.9517624728946,85.48736339983553
literature_2019_2020,G,zone_temporal_baseline,ZoneLastAnnualMean,ok,815,100,2,-0.20968997697987457,-0.9350034036226422,137.04229609579065,72.78908442786069,73.7980558392797
