protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,C,causal_history_ml,ExtraTrees,ok,815,100,178,-0.009013947803852007,-0.1541088137867479,52.63670414940742,26.945227285488595,38.35533259324232
literature_2019_2020,C,causal_history_ml,HistGBR,ok,815,100,178,-0.03230971356093493,-0.3456811091625982,53.24086590716164,27.414580121685926,38.947894484968
literature_2019_2020,C,causal_history_ml,XGBoost,ok,815,100,178,-0.037174589788713464,-0.13038649293808535,53.366170252691546,26.1294042288208,36.641349052214984
literature_2019_2020,C,causal_history_ml,LightGBM,ok,815,100,178,-0.04709393249129201,-0.35463126783378973,53.62075500849941,27.755067240355046,40.08519656117763
literature_2019_2020,D,causal_history_direct,CausalKNN12IDW,ok,815,100,69,-0.301180744332058,-0.7496684574734493,65.66347348862529,30.105275959394177,112.83211905272448
literature_2019_2020,D,causal_history_direct,CausalKNN12Median,ok,815,100,69,0.004828885256682014,-0.23924746791702955,57.42538553444809,23.29652,46.86343176380367
literature_2019_2020,D,causal_history_direct,CausalKNN30Q90,ok,815,100,69,-1.2338531955494076,-1.5948587204841336,86.03642435836817,44.62952200000002,177.30938068320668
literature_2019_2020,D,causal_history_direct,CausalKNN80Q95,ok,815,100,69,-2.4311245950099343,-2.824182245690385,106.62849589590245,64.78000499999995,242.45708381947674
literature_2019_2020,D,causal_history_direct,CausalRecentQ90,ok,815,100,69,-0.16638764837666864,-1.215276614984965,62.16937403312021,41.06191000000002,128.04228810672137
literature_2019_2020,D,causal_history_direct,CausalSameLastElseKNN12IDW,ok,815,100,69,-0.30232581697342664,-0.7563638778337796,65.69235991061845,30.17327596055574,113.1513678801225
literature_2019_2020,D,causal_history_direct,CausalSameMaxElseKNN30Q90,ok,815,100,69,-1.7310163464644495,-1.7632099502885357,95.1299324608885,47.69050200000002,194.75412741204602
literature_2019_2020,D,causal_history_direct,CausalHighGuard,ok,815,100,69,-3.044739185704424,-3.811959717188305,115.77113734791583,80.29484999999995,303.9124592762955
literature_2019_2020,D,causal_history_ml,ElasticNet,ok,815,100,178,-0.0279221771731335,-0.2585769309361401,58.36267062128044,24.201633657690913,55.407521530011095
literature_2019_2020,D,causal_history_ml,ExtraTrees,ok,815,100,178,0.09678203833274868,-0.041595020072286104,54.70806085784082,22.21889537034802,53.076711774037896
literature_2019_2020,D,causal_history_ml,HistGBR,ok,815,100,178,0.012296680369406343,-0.20594940751355284,57.20951886140773,23.998598758160274,60.98557717800642
literature_2019_2020,D,causal_history_ml,XGBoost,ok,815,100,178,0.0006809050893888946,-0.25302817323642524,57.54493867590116,24.113185163421626,59.532050216020075
literature_2019_2020,D,causal_history_ml,LightGBM,ok,815,100,178,0.06759593788643758,-0.15645836394436752,55.58493690900864,23.466437757670697,63.12874919649815
literature_2019_2020,E,causal_history_direct,CausalKNN12IDW,ok,815,100,69,-3.7565630858938626,-0.22199693444761004,24.48579248189234,9.968402496985961,31.446963406260984
literature_2019_2020,E,causal_history_direct,CausalKNN12Median,ok,815,100,69,0.03376138845668952,0.04555820853880754,11.035950098201782,7.306570000000001,26.667789359046324
