protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape,high_threshold,train_high_rate,gate_train_auc
literature_2019_2020,E,quantile_regression,QuantileP90,ok,815,100,45,-0.39973396922084814,-0.3729417961178878,13.282819929589648,10.833633283881525,42.595306287309256,,,
literature_2019_2020,E,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.07082519125627229,0.05117647410150872,10.822217237795838,7.369470182857146,27.69539890058909,38.406,0.10061349693251534,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.07054220864951943,0.05757705557259274,10.823865079557395,7.315489545380328,27.299352905383774,38.406,0.10061349693251534,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.0689817653655942,0.05956546336291457,10.83294722648795,7.29372585074098,27.13700235348154,38.406,0.10061349693251534,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.07515026231194333,0.051395173449546694,10.797000532758632,7.331797528721622,27.685184957710785,35.807,0.2,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,0.07211918495897418,0.0551816846118135,10.814678957718797,7.320444839344059,27.437456382569923,35.807,0.2,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,0.06956381832866587,0.05694494513503445,10.82956043200941,7.31066610614193,27.2879921927787,35.807,0.2,1.0
literature_2019_2020,F,quantile_regression,QuantileP50,ok,815,100,45,0.0390541444074487,0.19940376535828463,84.13306655117626,38.81571185609483,57.7825276901539,,,
literature_2019_2020,F,quantile_regression,QuantileP75,ok,815,100,45,0.07159333485463348,0.04275804928151872,82.69635821779616,47.5955096746209,98.82558869539317,,,
literature_2019_2020,F,quantile_regression,QuantileP90,ok,815,100,45,0.03541969867743322,-0.4002490267480152,84.29201852757579,58.976222362930194,153.522912772385,,,
literature_2019_2020,F,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.15942946596951013,0.2769746167200422,78.68724510409398,40.00293691030034,66.43879009600194,125.22000000000003,0.10061349693251534,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.12808092506047775,0.2816573691858697,80.14110921212432,39.72377579667576,63.7236763144308,125.22000000000003,0.10061349693251534,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.10598385477604788,0.27865049637250694,81.15026467416558,39.51232578679296,62.342354086322835,125.22000000000003,0.10061349693251534,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.09085048544454555,0.22009627052533864,81.83421396409751,41.53705211790107,70.59028959142171,78.304,0.2,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,0.085507502680922,0.23166411807207266,82.07432753510618,41.02687847911963,67.35519447473123,78.304,0.2,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,0.07926412574583053,0.23619750103958492,82.35401782463018,40.675587041673055,65.19927036167988,78.304,0.2,1.0
literature_2019_2020,G,quantile_regression,QuantileP50,ok,815,100,45,-0.05120527963347832,-0.035884376863753564,127.75013038533596,44.88004090516026,30.044766946643687,,,
literature_2019_2020,G,quantile_regression,QuantileP75,ok,815,100,45,-0.04932903784998577,-0.25001406744403964,127.63607217744034,57.90529408318451,53.82040448800224,,,
literature_2019_2020,G,quantile_regression,QuantileP90,ok,815,100,45,-0.4381043201324284,-1.31803968235513,149.4213929798474,97.49720601807141,104.63103314486877,,,
literature_2019_2020,G,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,-0.14038829283702436,-0.273673913363246,133.0589096937528,57.35852981081183,48.012806524822246,160.114,0.10061349693251534,1.0
literature_2019_2020,G,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,-0.1280298858272686,-0.23419488596672644,132.33596490183933,54.2315376162521,43.170572467355846,160.114,0.10061349693251534,1.0
literature_2019_2020,G,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,-0.1139337744146891,-0.19531124051299753,131.50651573971663,52.29742788311532,40.26588073581631,160.114,0.10061349693251534,1.0
literature_2019_2020,G,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,-0.08027077221332224,-0.1408812852244985,129.50421339324816,50.90956442130738,40.71106307202054,109.41600000000003,0.2,1.0
literature_2019_2020,G,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,-0.08349262955828118,-0.13220489064950458,129.69718976182534,49.73238446055168,38.469853052063414,109.41600000000003,0.2,1.0
literature_2019_2020,G,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,-0.08321461005650521,-0.12335306262228207,129.68054882653135,48.97316521269135,37.04492245322035,109.41600000000003,0.2,1.0
literature_2019_2020,H,quantile_regression,QuantileP50,ok,815,100,45,-0.03264804248553976,-0.024089821368030284,0.36282483074091976,0.10740207295579124,40.80620813366535,,,
literature_2019_2020,H,quantile_regression,QuantileP75,ok,815,100,45,0.17214912504153712,0.2531266186723641,0.3248604894785607,0.11424522048957192,68.21601793247147,,,
literature_2019_2020,H,quantile_regression,QuantileP90,ok,815,100,45,0.04571562691030262,-0.3922407829671506,0.3487865621382724,0.21241267164976985,220.44596957489958,,,
literature_2019_2020,H,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.506470723010255,0.5244337793525007,0.2508287412450786,0.08526319498807756,46.9847875273503,0.2,0.10306748466257669,1.0
literature_2019_2020,H,risk_gated_quantile,GateQ90_P90_pow1.5,ok,815,100,45,0.4295279993516766,0.46723868279159597,0.26967333443207264,0.08788727085429432,42.01147613573443,0.2,0.10306748466257669,1.0
literature_2019_2020,H,risk_gated_quantile,GateQ90_P90_pow2,ok,815,100,45,0.3607716063314834,0.4168830638489257,0.2854623699403709,0.09117440554146357,40.74902710087606,0.2,0.10306748466257669,1.0
literature_2019_2020,H,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.10759182914367971,0.17735091637787304,0.33728933356626756,0.10333210703798726,43.82416861437996,0.1354000000000001,0.2,1.0
literature_2019_2020,H,risk_gated_quantile,GateQ80_P75_pow1.5,ok,815,100,45,0.08489617673666594,0.14566204059267418,0.3415513633211664,0.10370489026605723,42.22205152947897,0.1354000000000001,0.2,1.0
literature_2019_2020,H,risk_gated_quantile,GateQ80_P75_pow2,ok,815,100,45,0.067610770767765,0.1211851916049117,0.34476205623629985,0.1041133892595378,41.4859544192549,0.1354000000000001,0.2,1.0
temporal_2022_2026,A,quantile_regression,QuantileP50,ok,938,34,45,0.101119615793264,0.20840706271597642,18.208679143824757,7.033349124968177,44.72175082183391,,,
temporal_2022_2026,A,quantile_regression,QuantileP75,ok,938,34,45,0.09470954659894448,0.10168388434706221,18.273488404530234,7.636170621147488,57.380276801332165,,,
temporal_2022_2026,A,quantile_regression,QuantileP90,ok,938,34,45,0.057613689551076264,-0.13101287374230064,18.64412371321828,8.908963900766656,77.00280711929888,,,
temporal_2022_2026,A,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.08988523779319435,0.17844134211474216,18.322113580630027,7.40734441169833,47.65148930383381,21.1,0.1023454157782516,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,0.09205141102719727,0.1846591672803276,18.30029626824583,7.2971229037451595,46.600522505312945,21.1,0.1023454157782516,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,0.09452803815079025,0.1912370645624647,18.275320206840057,7.202049307169057,45.868788419949254,21.1,0.1023454157782516,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,0.09855727765626854,0.16626062550457155,18.234613401202154,7.274450302517439,48.224210129216125,17.306,0.20042643923240938,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,0.1003353523942796,0.17689917344690076,18.21662084960208,7.238087529166788,47.36392604676112,17.306,0.20042643923240938,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,0.10166364237688297,0.18433812273863304,18.203168118676206,7.207930763833199,46.82734780487642,17.306,0.20042643923240938,1.0
temporal_2022_2026,B,quantile_regression,QuantileP50,ok,938,34,45,0.02804554221175981,0.20573114543401594,2.0275592638516082,0.6865140829416642,163.29062406662248,,,
temporal_2022_2026,B,quantile_regression,QuantileP75,ok,938,34,45,0.21213261263130012,0.012779672859861924,1.8254803442887333,0.9601538952584835,389.1238490770965,,,
temporal_2022_2026,B,quantile_regression,QuantileP90,ok,938,34,45,0.10819105822866248,-0.8387099218599219,1.9421667307812138,1.3513183465135135,697.317198078632,,,
temporal_2022_2026,B,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.4526167423844467,0.44957954932946387,1.5215854757796996,0.6897384065399956,209.55408471946373,1.7036000000000007,0.10021321961620469,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,0.3679980011824141,0.47824897784345066,1.634970138698734,0.6571563723493173,183.05554323628544,1.7036000000000007,0.10021321961620469,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,0.2885134229031281,0.46055281063649134,1.7347382506368787,0.6482227404974801,171.96572815321224,1.7036000000000007,0.10021321961620469,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,0.26388921461654546,0.30909761349046894,1.7645021409618635,0.765044393726895,231.20137877639118,0.8780000000000001,0.20042643923240938,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,0.2551529490252483,0.3305957363851445,1.7749419359906462,0.7405682462441463,211.98694222741685,0.8780000000000001,0.20042643923240938,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,0.24434847712662155,0.34024008703756337,1.7877689085851063,0.7251000757604538,200.92522201477544,0.8780000000000001,0.20042643923240938,1.0
temporal_2022_2026,C,quantile_regression,QuantileP50,ok,938,34,45,-0.04803919182481797,-0.1940917519907457,34.827306348295366,22.688848443841458,60.69868274506028,,,
temporal_2022_2026,C,quantile_regression,QuantileP75,ok,938,34,45,-0.43783834271229694,-1.1805863440721454,40.79304783548515,35.573581340938546,116.96297393422552,,,
temporal_2022_2026,C,quantile_regression,QuantileP90,ok,938,34,45,-1.1029805002982709,-2.0060735192547385,49.334274640211184,45.27754399663571,155.05354912128865,,,
temporal_2022_2026,C,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,-0.017271813995101137,-0.2233364254186616,34.312284171296085,23.48822882167563,65.00256331471644,82.53200000000001,0.10021321961620469,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,-0.02824942695930832,-0.19155905045452504,34.49692324301858,22.874230152437097,61.92023364080942,82.53200000000001,0.10021321961620469,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,-0.037765082673722805,-0.18921660645148242,34.65617686369092,22.730333682289313,61.07931707061515,82.53200000000001,0.10021321961620469,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,-0.09095978970512508,-0.36081739233957233,35.53329620537109,25.211958164513142,71.5952764652797,72.961,0.20042643923240938,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ80_P75_pow1.5,ok,938,34,45,-0.07499187299400045,-0.2876010931088788,35.272294734068396,24.13668440531541,66.76611455142411,72.961,0.20042643923240938,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,-0.06797201401212849,-0.2530478883698153,35.15693940279862,23.592399342737927,64.37643717581292,72.961,0.20042643923240938,1.0
temporal_2022_2026,D,quantile_regression,QuantileP50,ok,938,34,45,-0.02442256536988241,0.07138612554253265,51.009575020905416,17.769412949057052,25.597727623323017,,,
temporal_2022_2026,D,quantile_regression,QuantileP75,ok,938,34,45,0.15335363541562375,0.27959366158820875,46.372783087138835,17.66475112915161,33.807100384936035,,,
temporal_2022_2026,D,quantile_regression,QuantileP90,ok,938,34,45,0.3335043657340968,0.1486342672213301,41.14440551030527,21.63302469964772,52.0728719298467,,,
temporal_2022_2026,D,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.2054745292427529,0.4203182589339388,44.92272052342172,16.18597412914971,27.783941393505224,53.18700000000002,0.10021321961620469,1.0
temporal_2022_2026,D,risk_gated_quantile,GateQ90_P90_pow1.5,ok,938,34,45,0.15691169088387946,0.37666982594370624,46.275239025269535,15.862657673203197,26.13310445740363,53.18700000000002,0.10021321961620469,1.0
temporal_2022_2026,D,risk_gated_quantile,GateQ90_P90_pow2,ok,938,34,45,0.12696053582949607,0.33689390419091025,47.0900416932877,15.585542089170103,25.14942411864049,53.18700000000002,0.10021321961620469,1.0
temporal_2022_2026,D,risk_gated_quantile,GateQ80_P75_pow1,ok,938,34,45,0.09034653745641408,0.299837549445343,48.06734401430053,16.681400571759706,26.760787642285766,42.184000000000005,0.20042643923240938,1.0
