cutoff_year,feature_set,target,model,status,n_train,n_test,test_year_min,test_year_max,n_features,r2,r2_log1p,rmse,mae,mape
2019,external,F,HistGBR,ok,815,157,2019,2026,128,0.004862785603945929,0.052138830585013896,588.0534050392984,104.97464018968938,69.3907824636959
2019,external,F,ElasticNet,ok,815,157,2019,2026,128,-0.01344857183688486,-0.04954556145155853,593.4390800995587,107.35053259318948,66.43910541363323
2019,external,F,XGBoost,ok,815,157,2019,2026,128,-0.002223019106600166,0.08123868136951962,590.143287926778,101.485748895633,64.02536719973088
2019,external,F,LightGBM,ok,815,157,2019,2026,128,-0.003194467380962518,0.0514361974271621,590.4292296845418,104.81494433713783,68.5129636950437
2019,external,F,CatBoost,ok,815,157,2019,2026,128,-0.010730667448153097,0.09576321865072235,592.6427922717002,101.17689030325961,59.3693070168226
2019,external,G,ExtraTrees,ok,815,157,2019,2026,128,-0.6930042866924138,-0.47366110758533675,134.64578605405072,52.42584140512175,60.19930472318625
2019,external,G,HistGBR,ok,815,157,2019,2026,128,-0.44894806401772813,-0.4883921026432727,124.56331186293433,55.273122920122155,61.950926143002036
2019,external,G,ElasticNet,ok,815,157,2019,2026,128,-2.2810662257445298,-0.589051070044919,187.44386704651623,58.01845743078499,69.99483424311649
2019,external,G,XGBoost,ok,815,157,2019,2026,128,-1.0778035760721671,-0.49087173202902035,149.16467350910935,54.85559109283253,62.76088000308761
2019,external,G,LightGBM,ok,815,157,2019,2026,128,-0.8577465702802942,-0.5845120568328936,141.04476490406506,56.93613977012753,63.447988967152845
2019,external,G,CatBoost,ok,815,157,2019,2026,128,-0.3518228128341605,-0.2610153631995489,120.3160658595688,47.03263503255473,50.22949757353798
2019,external,H,ExtraTrees,ok,815,157,2019,2026,128,0.16959160499575676,0.29870341485103125,0.5084825959414045,0.14146932361713493,121.79792337424873
2019,external,H,HistGBR,ok,815,157,2019,2026,128,0.1369596129327072,0.24844977993236061,0.5183770752210793,0.1487631764040002,114.96042516552943
2019,external,H,ElasticNet,ok,815,157,2019,2026,128,0.09515427231096407,0.18508075689672798,0.5307836019633254,0.14927289407393618,117.41612088347817
2019,external,H,XGBoost,ok,815,157,2019,2026,128,0.1399143836887088,0.22014786676506515,0.5174889367902795,0.14390943494579594,115.28339019232064
2019,external,H,LightGBM,ok,815,157,2019,2026,128,0.19271811232924574,0.2926863548508246,0.5013520920969807,0.14279403257621628,112.39758566412455
2019,external,H,CatBoost,ok,815,157,2019,2026,128,0.10642259205802784,0.2162488166973544,0.5274682428126387,0.13720637250544146,99.383383576825
2020,external,A,ExtraTrees,ok,890,82,2020,2026,128,0.13711817277126492,0.1806426724726884,12.919265443973387,6.045007326809495,40.10825283278759
2020,external,A,HistGBR,ok,890,82,2020,2026,128,0.21376009200095158,0.2265514234358772,12.332175659520214,5.872067705790595,39.16212026950133
2020,external,A,ElasticNet,ok,890,82,2020,2026,128,0.05785274623192904,0.03666570356543786,13.499620302668946,6.894132469221121,50.8622808068396
2020,external,A,XGBoost,ok,890,82,2020,2026,128,0.10977052309801327,0.15692390853763782,13.122396177499027,6.234352250262005,41.295386739459644
2020,external,A,LightGBM,ok,890,82,2020,2026,128,0.20491426585152506,0.1816035514003541,12.401355029765064,5.903168795744684,40.47406552185297
2020,external,A,CatBoost,ok,890,82,2020,2026,128,0.12549835046799973,0.19338507008317718,13.005961877867598,5.995207571109183,39.52644519416855
2020,external,B,ExtraTrees,ok,890,82,2020,2026,128,0.410406905295863,0.1128794917490743,2.328469003297587,1.0960890010476665,350.7947792779589
2020,external,B,HistGBR,ok,890,82,2020,2026,128,0.284342413896703,0.12511238080947928,2.5653516568803223,1.1367364848142456,300.61525380455396
2020,external,B,ElasticNet,ok,890,82,2020,2026,128,0.35974749429467356,-0.012501070222639799,2.4264419745358294,1.282709194608429,417.9433910756259
2020,external,B,XGBoost,ok,890,82,2020,2026,128,0.3894968281609945,0.049417432681161055,2.36939915402341,1.146405523320524,314.0354652688565
2020,external,B,LightGBM,ok,890,82,2020,2026,128,0.2641588884411016,0.04288881598102323,2.6012751423925446,1.1503802335507518,326.0139591304556
2020,external,B,CatBoost,ok,890,82,2020,2026,128,0.24306136525986566,0.1351469919779026,2.638302585119325,1.177093116751375,294.6500817102498
2020,external,C,ExtraTrees,ok,890,82,2020,2026,128,-0.061003640659973435,-0.3550677182099553,34.10787889563689,26.59312507409443,74.90145566211383
2020,external,C,HistGBR,ok,890,82,2020,2026,128,-0.14613835182875445,-0.3879071348983485,35.44988231412937,27.31319890175818,75.89760773058335
2020,external,C,ElasticNet,ok,890,82,2020,2026,128,-0.16771613062731938,-0.5080203027043284,35.78202501573513,29.05558782475283,82.46573472717192
2020,external,C,XGBoost,ok,890,82,2020,2026,128,-0.03560091101198104,-0.2921070105568657,33.697096927627825,25.745007640931668,70.82215847419178
2020,external,C,LightGBM,ok,890,82,2020,2026,128,-0.020212540231263176,-0.25517221774662335,33.44580119742528,25.28597392029147,69.42660381247987
2020,external,C,CatBoost,ok,890,82,2020,2026,128,-0.02017753225333796,-0.2794373244288675,33.4452273562557,25.40980057269218,70.59724912575246
2020,external,D,ExtraTrees,ok,890,82,2020,2026,128,0.08416366514554707,-0.023521045350772596,35.5906654204459,16.82270527152681,46.12463100819562
2020,external,D,HistGBR,ok,890,82,2020,2026,128,0.036652631396464797,-0.19540486956625158,36.50216557345508,18.47641153823631,54.11231453781959
2020,external,D,ElasticNet,ok,890,82,2020,2026,128,-1.2929419803379774,-0.4194415202762345,56.31495038618794,21.612917694313253,70.63607467144764
2020,external,D,XGBoost,ok,890,82,2020,2026,128,-0.13684505860944363,-0.15322786810328015,39.65316089692474,18.76378795474913,52.58319453626205
2020,external,D,LightGBM,ok,890,82,2020,2026,128,-0.12185044478066809,-0.28547149368014213,39.390786768158016,19.713124448706626,55.70177169445378
2020,external,D,CatBoost,ok,890,82,2020,2026,128,0.07307847650235588,-0.03305511485264545,35.80541043582997,16.147498650933226,44.377294765662874
2020,external,E,ExtraTrees,ok,890,82,2020,2026,128,0.45033104352159514,0.1287721954184622,12.64512607093002,7.224310319608583,25.258581240341687
2020,external,E,HistGBR,ok,890,82,2020,2026,128,0.40647028468209934,0.17272533157767023,13.139952401112907,7.602916052973334,25.18879591919309
2020,external,E,ElasticNet,ok,890,82,2020,2026,128,0.3857543817895597,0.12344812107618564,13.367296833061607,7.774777869936433,26.493132983365264
2020,external,E,XGBoost,ok,890,82,2020,2026,128,0.5111894441439788,0.18285266348583284,11.924573271585695,6.825995659246677,24.18152678758297
2020,external,E,LightGBM,ok,890,82,2020,2026,128,0.43763917664155794,0.14594206816218003,12.790281048175295,7.4166697414712806,24.906692496584007
2020,external,E,CatBoost,ok,890,82,2020,2026,128,0.5180556075147131,0.20874114401296584,11.840526777360264,6.365110885650715,23.155879777160695
2020,external,F,ExtraTrees,ok,890,82,2020,2026,128,-0.021712255669199543,-0.06614119030834598,814.7107868159667,157.07762676398133,60.335224758024985
2020,external,F,HistGBR,ok,890,82,2020,2026,128,-0.013253163276069735,-0.14979840450629323,811.3311474743784,159.40709371424398,63.68147081394318
2020,external,F,ElasticNet,ok,890,82,2020,2026,128,-0.02040808097724245,-0.2972204612338194,814.190647966795,160.67829013031303,70.7285888780319
2020,external,F,XGBoost,ok,890,82,2020,2026,128,-0.020610795853344133,-0.14113347835119372,814.2715177497062,158.41008743881596,60.787910492823286
2020,external,F,LightGBM,ok,890,82,2020,2026,128,-0.013138611801144284,-0.06649098263368614,811.2852844019102,157.40908155926903,62.38478741248551
2020,external,F,CatBoost,ok,890,82,2020,2026,128,-0.024409528540628722,-0.1608219214763793,815.7854773072011,157.97879000648214,61.18869122158582
2020,external,G,ExtraTrees,ok,890,82,2020,2026,128,-7.179523171647919,-1.5740428880999313,131.5630037000757,56.55001763482338,81.85529050885323
2020,external,G,HistGBR,ok,890,82,2020,2026,128,-5.308507522629094,-1.5806414936169095,115.54019584820477,55.59199903771134,78.8510562149094
2020,external,G,ElasticNet,ok,890,82,2020,2026,128,-31.63503931669176,-1.9952139448766268,262.79182857149476,69.88724940679673,112.33711443912031
2020,external,G,XGBoost,ok,890,82,2020,2026,128,-9.210708262211945,-1.6776210049637896,146.99336116478258,58.98121863537301,85.94031804548786
2020,external,G,LightGBM,ok,890,82,2020,2026,128,-6.374996623179376,-1.8199977885507783,124.92538588687968,61.83539753040707,86.31611017852215
2020,external,G,CatBoost,ok,890,82,2020,2026,128,-5.673740802590126,-1.230966549865316,118.83775926269847,50.46902186433011,72.31862481019576
2020,external,H,ExtraTrees,ok,890,82,2020,2026,128,0.040025836158187666,0.07706524082426547,0.6526076756794936,0.16173874798981747,145.3654972917944
2020,external,H,HistGBR,ok,890,82,2020,2026,128,0.01923897982106726,0.029277287099205962,0.6596354743289105,0.16383146499093215,129.17814992505205
2020,external,H,ElasticNet,ok,890,82,2020,2026,128,-0.0010821701391270366,-0.040252637975915384,0.6664341880029404,0.1675791029762691,156.69628665534498
2020,external,H,XGBoost,ok,890,82,2020,2026,128,-0.039060945973897754,-0.10689452372687347,0.6789580094562466,0.16888273936379244,135.06878592994994
2020,external,H,LightGBM,ok,890,82,2020,2026,128,0.05365663083088623,0.10709171761734548,0.6479578814142904,0.15684289407218735,121.93543017996487
2020,external,H,CatBoost,ok,890,82,2020,2026,128,0.0045980880834307625,0.016442653482184766,0.6645407852696936,0.15725976246436918,127.08803916202365
2021,external,A,ExtraTrees,ok,915,57,2021,2026,128,0.1281295173357142,0.16858922238568674,15.145992154738902,6.799480138957751,45.07554285923253
2021,external,A,HistGBR,ok,915,57,2021,2026,128,0.2507165186463415,0.24084713905971022,14.040895893626166,6.574743610867055,42.720852106385216
2021,external,A,ElasticNet,ok,915,57,2021,2026,128,0.07522126946163255,0.11903719383693467,15.598780843416735,7.395526391312327,51.555371316789355
2021,external,A,XGBoost,ok,915,57,2021,2026,128,0.14065178104285114,0.2195517771158324,15.036831417396632,6.619623825407865,42.55007107795349
2021,external,A,LightGBM,ok,915,57,2021,2026,128,0.2022838323599112,0.2131529756486037,14.487583004983748,6.575428599186527,43.89534737900099
2021,external,A,CatBoost,ok,915,57,2021,2026,128,0.15786410804610085,0.24117287881954652,14.88547949646059,6.409371222486484,41.550406685979354
2021,external,B,ExtraTrees,ok,915,57,2021,2026,128,0.389651552916754,0.26913178647071845,2.8063171236622146,1.2607519886390266,342.06365545895625
2021,external,B,HistGBR,ok,915,57,2021,2026,128,0.2033516714665975,0.2352750357492125,3.2061301556111075,1.363872306913367,337.06163024105877
2021,external,B,ElasticNet,ok,915,57,2021,2026,128,0.5233449482022261,0.38235896038664097,2.479989970162566,1.229476069540657,318.7447512113614
2021,external,B,XGBoost,ok,915,57,2021,2026,128,0.356595624189852,0.31705643151218676,2.8813089576864925,1.245619415122166,270.6199189053106
2021,external,B,LightGBM,ok,915,57,2021,2026,128,0.28416933997820293,0.27145070410144534,3.0391558547003665,1.284601227627297,302.9232460140127
2021,external,B,CatBoost,ok,915,57,2021,2026,128,0.3115655179935021,0.3340817719473139,2.9804314107339005,1.30181735168108,275.0566870430973
2021,external,C,ExtraTrees,ok,915,57,2021,2026,128,-0.085776777785882,-0.4971477855950659,37.738226646380554,28.276731354420843,82.51555182294719
2021,external,C,HistGBR,ok,915,57,2021,2026,128,-0.09349932677936734,-0.509692133987981,37.872194759825724,29.357606358495268,84.32973998817607
2021,external,C,ElasticNet,ok,915,57,2021,2026,128,-0.16434879612193187,-0.6657270521246539,39.0798387621095,31.003806154586506,91.63224531239263
2021,external,C,XGBoost,ok,915,57,2021,2026,128,-0.11069174781420776,-0.5393437498501683,38.16875432584513,29.59055326281096,86.24638226749997
2021,external,C,LightGBM,ok,915,57,2021,2026,128,-0.11850309006104465,-0.5491419400170046,38.30273696705352,29.83482068810454,86.77306861721078
2021,external,C,CatBoost,ok,915,57,2021,2026,128,-0.0471005627498271,-0.45087232265952704,37.059999615209996,27.761129278536785,81.01821621255932
2021,external,D,ExtraTrees,ok,915,57,2021,2026,128,0.264758617780238,0.33848868888079553,36.85554132473201,15.512071846602742,33.619457155001555
2021,external,D,HistGBR,ok,915,57,2021,2026,128,0.15666992484190123,0.2267511370356632,39.47177142871058,16.323549094627804,34.54407117605251
2021,external,D,ElasticNet,ok,915,57,2021,2026,128,0.16130952422863387,0.2795115127634029,39.363044261835164,16.46590046671373,34.73282988495059
2021,external,D,XGBoost,ok,915,57,2021,2026,128,0.057075717268156745,0.26961113011488835,41.73748087058821,17.997422857719556,36.122369392650036
2021,external,D,LightGBM,ok,915,57,2021,2026,128,0.18299388902828906,0.21950524656137638,38.85084556931486,17.57045307836739,38.54644413164652
2021,external,D,CatBoost,ok,915,57,2021,2026,128,0.20097538106097335,0.3037530194596728,38.4209326818645,15.01289137305214,32.789651005268176
2021,external,E,ExtraTrees,ok,915,57,2021,2026,128,0.500201466640788,0.19976622080871342,13.995790520547477,7.352495446914318,23.886002878609645
2021,external,E,HistGBR,ok,915,57,2021,2026,128,0.3945859873312215,0.17932366019800328,15.40373999194894,8.641171992083965,26.329825230422756
2021,external,E,ElasticNet,ok,915,57,2021,2026,128,0.44391164271642813,0.19883638380845348,14.762905717549389,8.305823734138702,25.91545597567014
2021,external,E,XGBoost,ok,915,57,2021,2026,128,0.5570156246407492,0.27881452711183374,13.176320472282287,6.833694861696477,22.57923407778505
2021,external,E,LightGBM,ok,915,57,2021,2026,128,0.48378925982066145,0.23875858985311382,14.223728796554287,7.863084407733756,24.201804901939337
2021,external,E,CatBoost,ok,915,57,2021,2026,128,0.5356541683683506,0.2338934615789341,13.490272444215694,6.881747209499396,23.39007264645199
